pick,team,original_team,acquired_via
1,Washington Wizards,,
2,Utah Jazz,,
3,Memphis Grizzlies,,
4,Chicago Bulls,,
5,LA Clippers,Indiana Pacers,"Feb 2026 trade with Indiana, Clippers acquired Bennedict Mathurin, Isaiah Jackson and picks including 2026 IND first"
6,Brooklyn Nets,,
7,Sacramento Kings,,
8,Atlanta Hawks,New Orleans Pelicans,"June 2025 draft-night trade, Atlanta acquired rights to Asa Newell and 2026 NOP first from New Orleans"
9,Dallas Mavericks,,
10,Milwaukee Bucks,,
11,Golden State Warriors,,
12,Oklahoma City Thunder,LA Clippers,"July 2019 Shai Gilgeous-Alexander/Paul George trade, OKC acquired Clippers' 2026 first"
13,Miami Heat,,
14,Charlotte Hornets,,
15,Chicago Bulls,Portland Trail Blazers,"Aug 2021 trade, Chicago acquired Derrick Jones Jr. and 2026 POR first from Portland"
16,Memphis Grizzlies,Phoenix Suns,"PHX pick routed via Orlando, Memphis acquired it in June 2025 Kentavious Caldwell-Pope/Cole Anthony trade with Orlando"
17,Oklahoma City Thunder,Philadelphia 76ers,"Dec 2020 Al Horford trade, OKC acquired 2026 PHI protected first"
18,Charlotte Hornets,Orlando Magic,"ORL pick routed via Phoenix, Charlotte acquired it in Feb 2025 Jusuf Nurkic trade with Phoenix"
19,Toronto Raptors,,
20,San Antonio Spurs,Atlanta Hawks,"June 2022 Danilo Gallinari trade gave San Antonio 2026 first-round swap rights with Atlanta"
21,Detroit Pistons,Minnesota Timberwolves,"Feb 2026 trade, Detroit acquired Kevin Huerter, Dario Saric and 2026 MIN first-round pick swap"
22,Philadelphia 76ers,Houston Rockets,"HOU pick sent to OKC in July 2019 trade, then OKC traded it to Philadelphia in Feb 2026"
23,Atlanta Hawks,Cleveland Cavaliers,"Feb 2025 Caris LeVert/Georges Niang trade gave Atlanta 2026 first-round swap rights with Cleveland"
24,New York Knicks,,
25,LA Lakers,,
26,Denver Nuggets,,
27,Boston Celtics,,
28,Minnesota Timberwolves,Detroit Pistons,"Result of Feb 2026 Detroit-Minnesota pick swap (Huerter/Saric trade), Minnesota picks in Detroit's slot"
29,Cleveland Cavaliers,San Antonio Spurs,"Swap chain from 2022 Atlanta-San Antonio Gallinari trade and 2025 Atlanta-Cleveland LeVert/Niang trade"
30,Dallas Mavericks,Oklahoma City Thunder,"OKC pick routed via Philadelphia and Washington, Dallas acquired it in the 2026 Anthony Davis three-team trade"
