player,comp1,comp1_vorp,comp2,comp2_vorp,comp3,comp3_vorp,comp4,comp4_vorp,comp5,comp5_vorp,cohort15_floor_vorp,cohort15_median_vorp,cohort15_ceiling_vorp,cohort15_bust_rate,cohort15_allstar_rate,confidence,mismatch_note
AJ Dybantsa,"Alec Burks (2011, 12)",6.6,"RJ Barrett (2019, 3)",1.8,"Mike Miller (2000, 5)",19.8,"Troy Murphy (2001, 14)",10.6,"Jarrett Culver (2019, 6)",-1.6,0.4,6.6,67.4,0.0,0.2,HIGH,comp1 Alec Burks: size mismatch (81in vs 77in) | comp5 Jarrett Culver: size mismatch (81in vs 77in)
Darryn Peterson,"Brandon Armstrong (2001, 23)",-1.0,"James Anderson (2010, 20)",-0.8,"Cam Thomas (2021, 27)",-0.4,"Eric Gordon (2008, 7)",9.1,"Joseph Forte (2001, 21)",-0.2,-0.6,2.4,8.3,0.133,0.0,HIGH,
Cameron Boozer,"Kevin Love (2008, 5)",36.7,"Andrew Bogut (2005, 1)",16.0,"Ryan Anderson (2008, 21)",12.8,"Chris Bosh (2003, 4)",31.1,"Grant Williams (2019, 22)",1.0,0.9,12.8,67.4,0.133,0.4,HIGH,comp3 Ryan Anderson: creation-role mismatch (AST% 25.6 vs 9.7)
Caleb Wilson,"Kevin Love (2008, 5)",36.7,"Andrew Bogut (2005, 1)",16.0,"Chris Bosh (2003, 4)",31.1,"Bobby Portis (2015, 22)",6.8,"Stromile Swift (2000, 2)",1.1,3.8,10.0,34.5,0.0,0.267,HIGH,
Keaton Wagler,"Shannon Brown (2006, 25)",1.0,"Malik Monk (2017, 11)",3.1,"Nik Stauskas (2014, 8)",-1.7,"Luke Kennard (2017, 12)",6.3,"Joseph Forte (2001, 21)",-0.2,0.1,1.7,12.6,0.067,0.133,HIGH,
Darius Acuff Jr.,"Devin Harris (2004, 5)",15.5,"Jerryd Bayless (2008, 11)",1.1,"Rodney Stuckey (2007, 15)",4.9,"Trey Burke (2013, 9)",1.7,"Collin Sexton (2018, 8)",3.0,1.4,4.7,14.3,0.2,0.2,HIGH,
Mikel Brown Jr.,"O.J. Mayo (2008, 3)",4.7,"D'Angelo Russell (2015, 2)",12.4,"Klay Thompson (2011, 11)",17.6,"Coby White (2019, 7)",1.7,"Elliot Williams (2010, 22)",-1.1,1.5,4.7,18.1,0.0,0.267,HIGH,
Kingston Flemings,"De'Aaron Fox (2017, 5)",15.1,"Joseph Forte (2001, 21)",-0.2,"Wade Baldwin (2016, 17)",-0.5,"Derrick Rose (2008, 1)",18.2,"Miles McBride (2021, 36)",2.0,-0.2,2.0,14.0,0.2,0.2,HIGH,
Brayden Burries,"Shannon Brown (2006, 25)",1.0,"Luke Kennard (2017, 12)",6.3,"Jarvis Hayes (2003, 10)",-1.3,"Arron Afflalo (2007, 27)",2.4,"P.J. Hairston (2014, 26)",-1.0,-0.0,2.4,14.5,0.0,0.067,HIGH,
Nate Ament,"Harrison Barnes (2012, 7)",10.0,"Luol Deng (2004, 7)",22.9,"Rudy Gay (2006, 8)",22.4,"Tobias Harris (2011, 19)",24.3,"Jayson Tatum (2017, 3)",30.3,0.3,10.3,25.6,0.067,0.333,HIGH,
Aday Mara,"Roy Hibbert (2008, 17)",3.5,"Evan Mobley (2021, 3)",12.1,"Hasheem Thabeet (2009, 2)",-0.4,"Brendan Haywood (2001, 20)",2.9,"Udoka Azubuike (2020, 27)",0.1,0.5,2.8,17.4,0.067,0.267,HIGH,comp1 Roy Hibbert: rim-protection mismatch (BLK% 12.0 vs 6.3) | comp2 Evan Mobley: size mismatch (87in vs 83in) | comp3 Hasheem Thabeet: creation-role mismatch (AST% 19.0 vs 3.0) | comp5 Udoka Azubuike: size mismatch (87in vs 82in)
