year,pick,player,team,college_or_intl,age_at_draft,height_in,weight_lbs,wingspan_in,standing_reach_in,career_games,career_minutes,career_ws,career_ws48,career_bpm,career_vorp,allstar,notes
2000,1,Kenyon Martin,NJN,Cincinnati,22.49,81,234,,,757.0,23134.0,48.0,0.1,0.1,12.1,1,ht/wt from BBR listed (not combine barefoot)
2000,2,Stromile Swift,VAN,LSU,20.6,81,225,,,547.0,10804.0,21.3,0.095,-1.6,1.1,0,ht/wt from BBR listed (not combine barefoot)
2000,3,Darius Miles,LAC,,18.72,81,210,,,446.0,11730.0,9.5,0.039,-1.0,3.0,0,ht/wt from BBR listed (not combine barefoot)
2000,4,Marcus Fizer,CHI,Iowa State,21.88,81,262,,,289.0,6032.0,2.7,0.022,-3.7,-2.6,0,ht/wt from BBR listed (not combine barefoot)
2000,5,Mike Miller,ORL,Florida,20.36,80,218,,,1032.0,27812.0,60.7,0.105,0.8,19.8,0,ht/wt from BBR listed (not combine barefoot)
2000,6,DerMarr Johnson,ATL,Cincinnati,20.15,81,201,,,344.0,5930.0,6.4,0.052,-1.6,0.6,0,ht/wt from BBR listed (not combine barefoot)
2000,7,Chris Mihm,CHI,Texas,20.95,84,265,,,436.0,8758.0,13.3,0.073,-3.9,-4.3,0,ht/wt from BBR listed (not combine barefoot)
2000,8,Jamal Crawford,CLE,Michigan,20.27,76.5,175.0,82.0,102.5,1327.0,38994.0,60.7,0.075,-0.1,18.4,0,
2000,9,Joel Przybilla,HOU,Minnesota,20.72,85,255,,,592.0,11733.0,23.0,0.094,-1.7,0.8,0,ht/wt from BBR listed (not combine barefoot)
2000,10,Keyon Dooling,ORL,Missouri,20.14,75,196,,,728.0,14134.0,18.5,0.063,-2.0,-0.2,0,ht/wt from BBR listed (not combine barefoot)
2000,11,Jérôme Moïso,BOS,UCLA,22.04,82,235,,,145.0,1392.0,2.1,0.074,-2.9,-0.3,0,ht/wt from BBR listed (not combine barefoot)
2000,12,Etan Thomas,DAL,Syracuse,22.24,81,256,,,409.0,7084.0,14.9,0.101,-2.1,-0.2,0,ht/wt from BBR listed (not combine barefoot)
2000,13,Courtney Alexander,ORL,Fresno State,23.17,77,205,,,187.0,4067.0,4.1,0.048,-3.7,-1.7,0,ht/wt from BBR listed (not combine barefoot)
2000,14,Mateen Cleaves,DET,Michigan State,22.81,74,205,,,167.0,1863.0,-0.8,-0.021,-5.6,-1.7,0,ht/wt from BBR listed (not combine barefoot)
2000,15,Jason Collier,MIL,Georgia Tech,22.8,84,260,,,151.0,2178.0,1.9,0.042,-5.4,-1.9,0,ht/wt from BBR listed (not combine barefoot)
2000,16,Hedo Türkoğlu,SAC,,21.28,82,220,,,997.0,26695.0,63.3,0.114,0.9,19.6,0,ht/wt from BBR listed (not combine barefoot)
2000,17,Desmond Mason,SEA,Oklahoma State,22.71,77,224,,,643.0,19641.0,23.1,0.056,-2.4,-2.1,0,ht/wt from BBR listed (not combine barefoot)
2000,18,Quentin Richardson,LAC,DePaul,20.21,78,223,,,783.0,20785.0,32.8,0.076,-0.4,8.5,0,ht/wt from BBR listed (not combine barefoot)
2000,19,Jamaal Magloire,CHH,Kentucky,22.11,83,259,,,680.0,14621.0,27.7,0.091,-2.9,-3.1,1,ht/wt from BBR listed (not combine barefoot)
2000,20,Speedy Claxton,PHI,Hofstra,22.14,70.5,166.0,72.0,94.5,334.0,8548.0,14.2,0.08,-0.3,3.6,0,
2000,21,Morris Peterson,TOR,Michigan State,22.84,79,218,,,711.0,19366.0,35.7,0.089,-0.4,7.6,0,ht/wt from BBR listed (not combine barefoot)
2000,22,Donnell Harvey,NYK,Florida,19.84,79.25,220.0,84.5,105.5,205.0,3318.0,4.7,0.069,-2.6,-0.5,0,
2000,23,DeShawn Stevenson,UTA,,19.24,77,210,,,824.0,18396.0,12.1,0.032,-2.7,-3.5,0,ht/wt from BBR listed (not combine barefoot)
2000,24,Dalibor Bagarić,CHI,,20.39,85,255,,,95.0,973.0,-0.9,-0.043,-7.9,-1.5,0,ht/wt from BBR listed (not combine barefoot)
2000,25,Jake Tsakalidis,PHO,,21.05,86,285,,,315.0,5005.0,9.9,0.095,-3.1,-1.4,0,ht/wt from BBR listed (not combine barefoot)
2000,26,Mamadou N'Diaye,DEN,Auburn,25.03,84,255,,,69.0,858.0,1.8,0.101,-4.2,-0.5,0,ht/wt from BBR listed (not combine barefoot)
2000,27,Primož Brezec,IND,,20.74,84.75,243.0,86.0,110.0,342.0,6192.0,10.8,0.084,-3.1,-1.7,0,
2000,28,Erick Barkley,POR,St. John's,22.35,73,177,,,27.0,266.0,0.2,0.027,-3.7,-0.1,0,ht/wt from BBR listed (not combine barefoot)
2000,29,Mark Madsen,LAL,Stanford,24.42,80.0,236.5,84.5,104.5,453.0,5335.0,8.2,0.074,-4.1,-2.9,0,
2000,30,Marko Jarić,LAC,,21.71,78.5,210.0,81.0,104.0,447.0,11246.0,12.1,0.052,-0.7,3.8,0,
2000,31,Dan Langhi,DAL,Vanderbilt,22.58,81.0,197.5,80.0,104.0,133.0,1253.0,0.3,0.012,-4.6,-0.8,0,
2000,32,A.J. Guyton,CHI,Indiana,22.37,72.75,175.0,75.75,97.5,80.0,1246.0,0.3,0.01,-2.9,-0.3,0,
2000,33,Jake Voskuhl,CHI,UConn,22.66,83,245,,,450.0,6443.0,11.6,0.087,-3.8,-3.0,0,ht/wt from BBR listed (not combine barefoot)
2000,34,Khalid El-Amin,CHI,UConn,21.18,69.0,200.0,73.5,93.0,50.0,936.0,0.6,0.03,-2.4,-0.1,0,
2000,35,Mike Smith,WAS,Louisiana-Monroe,24.2,78.5,198.0,80.5,103.0,17.0,180.0,-0.1,-0.033,-4.2,-0.1,0,
2000,36,Soumaila Samake,NJN,,22.28,84,230,,,47.0,303.0,0.3,0.046,-3.7,-0.1,0,ht/wt from BBR listed (not combine barefoot)
2000,37,Eddie House,MIA,Arizona State,22.12,71.75,176.5,75.5,95.0,717.0,12405.0,20.0,0.077,0.0,6.1,0,
2000,38,Eduardo Nájera,HOU,Oklahoma,23.96,78.5,234.5,83.5,104.5,619.0,11213.0,24.7,0.106,-0.9,3.0,0,
