year,pick,player,team,college_or_intl,age_at_draft,height_in,weight_lbs,wingspan_in,standing_reach_in,career_games,career_minutes,career_ws,career_ws48,career_bpm,career_vorp,allstar,notes,ncaa_games,ncaa_mpg,ncaa_ppg,ncaa_rpg,ncaa_apg,ncaa_fg_pct,ncaa_3p_pct,ncaa_3pa_pg,ncaa_ft_pct,ncaa_ts_pct,ncaa_usg_pct,ncaa_ast_pct,ncaa_tov_pct,ncaa_stl_pct,ncaa_blk_pct,ncaa_obpm,ncaa_bpm,ncaa_source
2000,1,Kenyon Martin,NJN,Cincinnati,22.49,81.0,234.0,,,757.0,23134.0,48.0,0.1,0.1,12.1,1,ht/wt from BBR listed (not combine barefoot),31,29.3,18.9,9.7,1.4,0.568,0.286,0.2,0.684,0.601,,,10.3,,,,,sports-reference
2000,2,Stromile Swift,VAN,LSU,20.6,81.0,225.0,,,547.0,10804.0,21.3,0.095,-1.6,1.1,0,ht/wt from BBR listed (not combine barefoot),34,29.8,16.2,8.2,0.9,0.608,0.28,0.7,0.617,0.625,,,15.4,,,,,sports-reference
2000,3,Darius Miles,LAC,,18.72,81.0,210.0,,,446.0,11730.0,9.5,0.039,-1.0,3.0,0,ht/wt from BBR listed (not combine barefoot); non-NCAA,,,,,,,,,,,,,,,,,,
2000,4,Marcus Fizer,CHI,Iowa State,21.88,81.0,262.0,,,289.0,6032.0,2.7,0.022,-3.7,-2.6,0,ht/wt from BBR listed (not combine barefoot),37,33.6,22.8,7.7,1.1,0.582,0.357,1.1,0.732,0.625,,,10.2,,,,,sports-reference
2000,5,Mike Miller,ORL,Florida,20.36,80.0,218.0,,,1032.0,27812.0,60.7,0.105,0.8,19.8,0,ht/wt from BBR listed (not combine barefoot),37,28.6,14.1,6.6,2.5,0.476,0.338,3.8,0.729,0.581,,,13.7,,,,,sports-reference
2000,6,DerMarr Johnson,ATL,Cincinnati,20.15,81.0,201.0,,,344.0,5930.0,6.4,0.052,-1.6,0.6,0,ht/wt from BBR listed (not combine barefoot),32,27.5,12.6,3.8,1.4,0.478,0.371,4.4,0.737,0.594,,,12.0,,,,,sports-reference
2000,7,Chris Mihm,CHI,Texas,20.95,84.0,265.0,,,436.0,8758.0,13.3,0.073,-3.9,-4.3,0,ht/wt from BBR listed (not combine barefoot),33,30.7,17.7,10.5,0.7,0.523,0.467,0.5,0.707,0.578,,,13.8,,,,,sports-reference
2000,8,Jamal Crawford,CLE,Michigan,20.27,76.5,175.0,82.0,102.5,1327.0,38994.0,60.7,0.075,-0.1,18.4,0,,17,33.9,16.6,2.8,4.5,0.412,0.327,5.9,0.784,0.507,,,16.0,,,,,sports-reference
2000,9,Joel Przybilla,HOU,Minnesota,20.72,85.0,255.0,,,592.0,11733.0,23.0,0.094,-1.7,0.8,0,ht/wt from BBR listed (not combine barefoot),21,30.4,14.2,8.4,2.4,0.613,,0.0,0.495,0.594,,,23.4,,,,,sports-reference
2000,10,Keyon Dooling,ORL,Missouri,20.14,75.0,196.0,,,728.0,14134.0,18.5,0.063,-2.0,-0.2,0,ht/wt from BBR listed (not combine barefoot),31,31.7,15.3,2.7,3.6,0.389,0.347,5.5,0.743,0.523,,,14.9,,,,,sports-reference
2000,11,Jérôme Moïso,BOS,UCLA,22.04,82.0,235.0,,,145.0,1392.0,2.1,0.074,-2.9,-0.3,0,ht/wt from BBR listed (not combine barefoot),33,29.5,13.0,7.6,1.2,0.501,0.167,0.2,0.613,0.527,,,17.8,,,,,sports-reference
2000,12,Etan Thomas,DAL,Syracuse,22.24,81.0,256.0,,,409.0,7084.0,14.9,0.101,-2.1,-0.2,0,ht/wt from BBR listed (not combine barefoot),29,32.4,13.6,9.3,0.6,0.602,,0.0,0.678,0.626,,,15.8,,,,,sports-reference
2000,13,Courtney Alexander,ORL,Fresno State,23.17,77.0,205.0,,,187.0,4067.0,4.1,0.048,-3.7,-1.7,0,ht/wt from BBR listed (not combine barefoot),27,36.1,24.8,4.7,3.5,0.447,0.331,6.5,0.781,0.532,,,9.6,,,,,sports-reference
2000,14,Mateen Cleaves,DET,Michigan State,22.81,74.0,205.0,,,167.0,1863.0,-0.8,-0.021,-5.6,-1.7,0,ht/wt from BBR listed (not combine barefoot),26,31.5,12.1,1.8,6.9,0.421,0.376,3.3,0.756,0.525,,,24.1,,,,,sports-reference
2000,15,Jason Collier,MIL,Georgia Tech,22.8,84.0,260.0,,,151.0,2178.0,1.9,0.042,-5.4,-1.9,0,ht/wt from BBR listed (not combine barefoot),30,32.5,17.0,9.2,1.6,0.473,0.369,2.8,0.735,0.56,,,17.4,,,,,sports-reference
2000,16,Hedo Türkoğlu,SAC,,21.28,82.0,220.0,,,997.0,26695.0,63.3,0.114,0.9,19.6,0,ht/wt from BBR listed (not combine barefoot); non-NCAA,,,,,,,,,,,,,,,,,,
2000,17,Desmond Mason,SEA,Oklahoma State,22.71,77.0,224.0,,,643.0,19641.0,23.1,0.056,-2.4,-2.1,0,ht/wt from BBR listed (not combine barefoot),34,35.4,18.0,6.6,1.5,0.499,0.43,4.4,0.767,0.61,,,10.7,,,,,sports-reference
2000,18,Quentin Richardson,LAC,DePaul,20.21,78.0,223.0,,,783.0,20785.0,32.8,0.076,-0.4,8.5,0,ht/wt from BBR listed (not combine barefoot),33,34.8,17.0,9.8,2.2,0.432,0.384,5.8,0.706,0.535,,,12.8,,,,,sports-reference
2000,19,Jamaal Magloire,CHH,Kentucky,22.11,83.0,259.0,,,680.0,14621.0,27.7,0.091,-2.9,-3.1,1,ht/wt from BBR listed (not combine barefoot),33,29.6,13.2,9.1,0.5,0.5,,0.0,0.685,0.554,,,19.5,,,,,sports-reference
2000,20,Speedy Claxton,PHI,Hofstra,22.14,70.5,166.0,72.0,94.5,334.0,8548.0,14.2,0.08,-0.3,3.6,0,,31,35.1,22.8,5.4,6.0,0.47,0.381,4.3,0.764,0.56,,,13.8,,,,,sports-reference
2000,21,Morris Peterson,TOR,Michigan State,22.84,79.0,218.0,,,711.0,19366.0,35.7,0.089,-0.4,7.6,0,ht/wt from BBR listed (not combine barefoot),39,29.1,16.8,6.0,1.3,0.465,0.425,5.1,0.773,0.594,,,13.2,,,,,sports-reference
2000,22,Donnell Harvey,NYK,Florida,19.84,79.25,220.0,84.5,105.5,205.0,3318.0,4.7,0.069,-2.6,-0.5,0,,37,20.2,10.1,7.0,1.0,0.507,,0.0,0.61,0.533,,,14.6,,,,,sports-reference
2000,23,DeShawn Stevenson,UTA,,19.24,77.0,210.0,,,824.0,18396.0,12.1,0.032,-2.7,-3.5,0,ht/wt from BBR listed (not combine barefoot); non-NCAA,,,,,,,,,,,,,,,,,,
2000,24,Dalibor Bagarić,CHI,,20.39,85.0,255.0,,,95.0,973.0,-0.9,-0.043,-7.9,-1.5,0,ht/wt from BBR listed (not combine barefoot); non-NCAA,,,,,,,,,,,,,,,,,,
2000,25,Jake Tsakalidis,PHO,,21.05,86.0,285.0,,,315.0,5005.0,9.9,0.095,-3.1,-1.4,0,ht/wt from BBR listed (not combine barefoot); non-NCAA,,,,,,,,,,,,,,,,,,
2000,26,Mamadou N'Diaye,DEN,Auburn,25.03,84.0,255.0,,,69.0,858.0,1.8,0.101,-4.2,-0.5,0,ht/wt from BBR listed (not combine barefoot),34,26.6,8.9,7.9,0.5,0.535,,0.0,0.665,0.581,,,21.9,,,,,sports-reference
2000,27,Primož Brezec,IND,,20.74,84.75,243.0,86.0,110.0,342.0,6192.0,10.8,0.084,-3.1,-1.7,0,non-NCAA,,,,,,,,,,,,,,,,,,
