player,source_list_rank,position,team_school,league,birthdate,age_at_draft,height,weight,games,mpg,ppg,rpg,apg,spg,bpg,fg_pct,three_pct,three_pa_pg,ft_pct,fta_pg,ts_pct,usage_pct,ast_pct,tov_pct,obpm,dbpm,bpm,injury_notes
Cameron Boozer,1,PF,Duke,NCAA D1 (ACC),2007-07-18,18.94,6-9,250,38,33.4,22.5,10.2,4.1,1.4,0.6,0.556,0.391,3.6,0.789,7.4,0.653,29.9,25.6,12.8,12.7,6.0,18.7,none significant found (played 38 games)
Darryn Peterson,2,SG/PG,Kansas,NCAA D1 (Big 12),2007-01-17,19.44,6-5,205,24,29.0,20.2,4.2,1.6,1.4,0.6,0.438,0.382,6.9,0.826,5.5,0.578,33.5,12.5,8.3,9.3,4.8,14.1,"Hamstring strain (hurt Nov 11 pregame), missed 7 straight games, returned Dec 7; later brief quad/cramp issues; 24 GP"
AJ Dybantsa,3,SF,BYU,NCAA D1 (Big 12),2007-01-29,19.4,6-9,210,35,34.8,25.5,6.8,3.7,1.1,0.3,0.51,0.331,4.2,0.774,8.5,0.6,33.9,22.1,12.7,9.5,2.2,11.7,none significant found (played 35 games)
Caleb Wilson,4,SF/PF,North Carolina,NCAA D1 (ACC),2006-07-18,19.94,6-10,215,24,31.3,19.8,9.4,2.7,1.5,1.4,0.578,0.259,1.1,0.713,7.5,0.626,28.7,18.1,11.0,8.7,5.3,14.0,"Left hand injury Feb 10 vs Miami; broken right thumb in practice Mar 5, season-ending surgery; missed final 9 games"
Keaton Wagler,5,SG/PG,Illinois,NCAA D1 (Big Ten),2007-02-03,19.39,6-6,185,37,33.9,17.9,5.1,4.2,0.9,0.4,0.445,0.397,5.9,0.796,5.8,0.596,25.2,23.2,10.6,8.8,3.5,12.3,none significant found (played 37 games)
Darius Acuff Jr.,6,PG,Arkansas,NCAA D1 (SEC),2006-11-16,19.61,6-3,190,36,35.1,23.5,3.1,6.4,0.8,0.3,0.484,0.44,5.8,0.809,6.1,0.604,29.5,32.2,10.0,9.4,0.7,10.1,none significant found (played 36 games)
Kingston Flemings,7,PG,Houston,NCAA D1 (Big 12),2007-01-03,19.47,6-4,190,37,31.7,16.1,4.1,5.2,1.5,0.3,0.476,0.387,2.9,0.845,3.5,0.563,26.0,32.6,11.1,6.6,6.0,12.6,none significant found (played 37 games)
Brayden Burries,8,SG/PG,Arizona,NCAA D1 (Big 12),2005-09-18,20.77,6-4,205,39,29.8,16.1,4.9,2.4,1.5,0.2,0.491,0.391,4.6,0.805,4.3,0.616,23.2,14.2,10.1,6.0,5.7,11.7,none significant found (played 39 games)
Mikel Brown Jr.,9,PG,Louisville,NCAA D1 (ACC),2006-04-03,20.23,6-5,190,21,29.2,18.2,3.3,4.7,1.2,0.1,0.41,0.344,7.6,0.844,5.8,0.577,31.4,30.3,16.4,4.9,1.7,6.6,"Lower back injury; missed 14 games total (8-game absence Dec 13-Jan 23, then final 6 incl ACC/NCAA tournaments)"
Nate Ament,10,SF,Tennessee,NCAA D1 (SEC),2006-12-10,19.54,6-10,207,35,29.7,16.7,6.3,2.3,1.0,0.6,0.399,0.333,3.9,0.79,7.1,0.534,29.0,14.8,12.6,5.1,3.3,8.4,none significant found (played 35 games)
Labaron Philon Jr.,11,PG,Alabama,NCAA D1 (SEC),2005-11-24,20.58,6-4,177,33,30.9,22.0,3.5,5.0,1.2,0.2,0.501,0.399,6.2,0.798,6.0,0.626,30.0,31.9,12.7,9.2,2.1,11.3,none significant found (played 33 games)
Yaxel Lendeborg,12,PF,Michigan,NCAA D1 (Big Ten),2002-09-30,23.73,6-9,230,40,30.2,15.1,6.8,3.2,1.1,1.2,0.515,0.372,4.5,0.824,4.1,0.646,20.4,18.0,8.3,9.8,6.9,16.7,none significant found (played 40 games)
Karim Lopez,13,SF,New Zealand Breakers,NBL Australia (strong 2nd-tier pro league),2007-04-12,19.2,6-9,225,30,25.6,11.9,6.1,1.9,1.2,1.0,0.494,0.322,3.0,0.739,2.9,0.586,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,none found; played 30 games (full NBL season)
Cameron Carr,14,SG,Baylor,NCAA D1 (Big 12),2004-11-21,21.59,6-5,175,34,33.7,18.9,5.8,2.6,0.9,1.3,0.494,0.374,6.1,0.801,4.9,0.622,25.3,14.6,13.6,6.9,2.3,9.2,none significant found (played 34 games)
Hannes Steinbach,15,PF,Washington,NCAA D1 (Big Ten),2006-05-01,20.15,6-11,220,30,34.6,18.5,11.8,1.6,1.1,1.2,0.577,0.34,1.8,0.759,5.3,0.636,23.9,9.1,11.9,7.7,2.4,10.1,none significant found (played 30 games)
Chris Cenac Jr.,16,PF/C,Houston,NCAA D1 (Big 12),2007-02-01,19.39,6-11,240,37,24.8,9.5,7.9,0.7,0.8,0.5,0.485,0.333,2.4,0.621,1.6,0.546,19.9,5.5,9.3,3.7,3.8,7.5,none significant found (played 37 games)
Morez Johnson Jr.,17,PF,Michigan,NCAA D1 (Big Ten),2006-01-25,20.41,6-9,255,40,25.1,13.1,7.3,1.2,0.7,1.1,0.623,0.343,0.9,0.782,3.9,0.677,21.3,8.4,12.0,6.4,5.4,11.8,none significant found (played 40 games)
Aday Mara,18,C,Michigan,NCAA D1 (Big Ten),2005-04-07,21.22,7-3,240,40,23.4,12.1,6.8,2.4,0.4,2.6,0.668,0.3,0.3,0.564,3.5,0.659,23.1,19.0,17.7,5.8,8.4,14.3,none significant found (played 40 games)
Jayden Quaintance,19,PF/C,Kentucky,NCAA D1 (SEC),2007-07-11,18.96,6-9,225,4,16.8,5.0,5.0,0.5,0.5,0.8,0.571,,0.0,0.308,3.3,0.496,19.2,5.2,22.9,0.0,1.8,1.9,"Recovering from Feb 2025 ACL tear (at Arizona State); recurring knee swelling, shut down after 4 games at Kentucky"
Bennett Stirtz,20,PG,Iowa,NCAA D1 (Big Ten),2003-10-03,22.73,6-4,180,37,37.7,19.8,2.6,4.4,1.4,0.2,0.477,0.358,6.9,0.848,4.5,0.607,26.9,24.9,10.1,7.7,2.5,10.2,none significant found (played 37 games)
Dailyn Swain,21,SG/SF,Texas,NCAA D1 (SEC),2005-07-15,20.94,6-7,200,36,32.8,17.3,7.5,3.6,1.6,0.3,0.542,0.344,2.6,0.815,5.6,0.636,24.6,21.0,16.4,6.9,3.6,10.5,none significant found (played 36 games)
Christian Anderson,22,PG,Texas Tech,NCAA D1 (Big 12),2006-04-02,20.23,6-2,165,33,38.4,18.5,3.6,7.4,1.5,0.2,0.472,0.415,7.9,0.805,3.6,0.626,23.8,35.2,18.3,7.1,2.3,9.4,none significant found (played 33 games)
Allen Graves,23,PF,Santa Clara,NCAA D1 (WCC),2006-07-28,19.91,6-9,220,35,22.6,11.8,6.5,1.8,1.9,0.9,0.512,0.413,2.6,0.75,3.2,0.613,21.9,13.9,6.9,8.7,4.7,13.4,none significant found (played 35 games)
Ebuka Okorie,24,PG,Stanford,NCAA D1 (ACC),2007-04-10,19.21,6-2,185,31,35.1,23.2,3.6,3.6,1.6,0.3,0.465,0.354,5.7,0.832,7.3,0.589,31.0,23.9,8.7,8.4,2.2,10.6,none significant found (played 31 games)
Koa Peat,25,PF,Arizona,NCAA D1 (Big 12),2007-01-20,19.43,6-8,235,36,27.8,14.1,5.6,2.6,0.6,0.7,0.528,0.35,0.6,0.623,4.5,0.557,24.5,16.7,11.3,4.8,3.9,8.8,none significant found (played 36 games)
Isaiah Evans,26,SF,Duke,NCAA D1 (ACC),2005-12-06,20.55,6-6,175,38,28.2,15.0,3.2,1.3,0.7,0.7,0.433,0.361,7.4,0.86,3.0,0.59,24.9,8.3,8.2,6.5,3.3,9.8,not researched in depth; played 38 games
Joshua Jefferson,27,PF/SF,Iowa State,NCAA D1 (Big 12),2003-11-21,22.59,6-8,220,35,30.9,16.4,7.4,4.8,1.6,0.8,0.471,0.345,3.1,0.7,6.1,0.56,27.6,27.7,14.8,7.0,6.1,13.0,not researched in depth; played 35 games
Meleek Thomas,28,SG/PG,Arkansas,NCAA D1 (SEC),2006-08-06,19.89,6-5,185,37,30.5,15.6,3.8,2.5,1.5,0.2,0.435,0.416,5.3,0.843,2.9,0.559,23.6,13.2,6.7,4.8,2.3,7.0,not researched in depth; played 37 games
Henri Veesaar,29,C,North Carolina,NCAA D1 (ACC),2004-03-28,22.24,7-0,200,31,31.4,17.0,8.7,2.1,0.6,1.2,0.608,0.426,3.0,0.615,3.8,0.664,23.3,13.6,11.6,7.0,3.8,10.7,not researched in depth; played 31 games
Tarris Reed Jr.,30,C,UConn,NCAA D1 (Big East),2003-08-05,22.89,6-10,260,35,27.3,14.7,9.0,2.3,0.9,2.0,0.607,0.0,0.1,0.617,4.4,0.614,26.1,17.8,13.4,6.7,6.1,12.9,not researched in depth; played 35 games
