year,pick,team,player,slug,college,yrs,career_games,career_minutes,career_ws,career_ws48,career_bpm,career_vorp
2000,1,NJN,Kenyon Martin,martike01,Cincinnati,15,757,23134,48.0,.100,0.1,12.1
2000,2,VAN,Stromile Swift,swiftst01,LSU,9,547,10804,21.3,.095,-1.6,1.1
2000,3,LAC,Darius Miles,milesda01,,7,446,11730,9.5,.039,-1.0,3.0
2000,4,CHI,Marcus Fizer,fizerma01,Iowa State,6,289,6032,2.7,.022,-3.7,-2.6
2000,5,ORL,Mike Miller,millemi01,Florida,17,1032,27812,60.7,.105,0.8,19.8
2000,6,ATL,DerMarr Johnson,johnsde03,Cincinnati,7,344,5930,6.4,.052,-1.6,0.6
2000,7,CHI,Chris Mihm,mihmch01,Texas,8,436,8758,13.3,.073,-3.9,-4.3
2000,8,CLE,Jamal Crawford,crawfja01,Michigan,20,1327,38994,60.7,.075,-0.1,18.4
2000,9,HOU,Joel Przybilla,przybjo01,Minnesota,13,592,11733,23.0,.094,-1.7,0.8
2000,10,ORL,Keyon Dooling,doolike01,Missouri,13,728,14134,18.5,.063,-2.0,-0.2
2000,11,BOS,Jérôme Moïso,moisoje01,UCLA,5,145,1392,2.1,.074,-2.9,-0.3
2000,12,DAL,Etan Thomas,thomaet01,Syracuse,9,409,7084,14.9,.101,-2.1,-0.2
2000,13,ORL,Courtney Alexander,alexaco02,Fresno State,3,187,4067,4.1,.048,-3.7,-1.7
2000,14,DET,Mateen Cleaves,cleavma01,Michigan State,6,167,1863,-0.8,-.021,-5.6,-1.7
2000,15,MIL,Jason Collier,collija02,Georgia Tech,5,151,2178,1.9,.042,-5.4,-1.9
2000,16,SAC,Hedo Türkoğlu,turkohe01,,15,997,26695,63.3,.114,0.9,19.6
2000,17,SEA,Desmond Mason,masonde01,Oklahoma State,10,643,19641,23.1,.056,-2.4,-2.1
2000,18,LAC,Quentin Richardson,richaqu01,DePaul,13,783,20785,32.8,.076,-0.4,8.5
2000,19,CHH,Jamaal Magloire,magloja01,Kentucky,12,680,14621,27.7,.091,-2.9,-3.1
2000,20,PHI,Speedy Claxton,claxtsp01,Hofstra,7,334,8548,14.2,.080,-0.3,3.6
2000,21,TOR,Morris Peterson,petermo01,Michigan State,11,711,19366,35.7,.089,-0.4,7.6
2000,22,NYK,Donnell Harvey,harvedo01,Florida,5,205,3318,4.7,.069,-2.6,-0.5
2000,23,UTA,DeShawn Stevenson,stevede01,,13,824,18396,12.1,.032,-2.7,-3.5
2000,24,CHI,Dalibor Bagarić,bagarda01,,3,95,973,-0.9,-.043,-7.9,-1.5
2000,25,PHO,Jake Tsakalidis,tsakaja01,,7,315,5005,9.9,.095,-3.1,-1.4
2000,26,DEN,Mamadou N'Diaye,ndiayma02,Auburn,5,69,858,1.8,.101,-4.2,-0.5
2000,27,IND,Primož Brezec,brezepr01,,8,342,6192,10.8,.084,-3.1,-1.7
2000,28,POR,Erick Barkley,barkler01,St. John's,2,27,266,0.2,.027,-3.7,-0.1
2000,29,LAL,Mark Madsen,madsema01,Stanford,9,453,5335,8.2,.074,-4.1,-2.9
2000,30,LAC,Marko Jarić,jaricma01,,7,447,11246,12.1,.052,-0.7,3.8
2000,31,DAL,Dan Langhi,langhda01,Vanderbilt,4,133,1253,0.3,.012,-4.6,-0.8
2000,32,CHI,A.J. Guyton,guytoaj01,Indiana,3,80,1246,0.3,.010,-2.9,-0.3
2000,33,CHI,Jake Voskuhl,voskuja01,UConn,9,450,6443,11.6,.087,-3.8,-3.0
2000,34,CHI,Khalid El-Amin,elamikh01,UConn,1,50,936,0.6,.030,-2.4,-0.1
2000,35,WAS,Mike Smith,smithmi03,Louisiana-Monroe,1,17,180,-0.1,-.033,-4.2,-0.1
2000,36,NJN,Soumaila Samake,samakso01,,2,47,303,0.3,.046,-3.7,-0.1
2000,37,MIA,Eddie House,houseed01,Arizona State,11,717,12405,20.0,.077,0.0,6.1
2000,38,HOU,Eduardo Nájera,najered01,Oklahoma,12,619,11213,24.7,.106,-0.9,3.0
2000,39,NYK,Lavor Postell,postela01,St. John's,3,61,446,-0.2,-.025,-5.0,-0.3
2000,40,ATL,Hanno Möttölä,mottoha01,Utah,2,155,2360,0.9,.019,-5.9,-2.3
2000,41,SAS,Chris Carrawell,carrach01,Duke,,,,,,,
2000,42,SEA,Olumide Oyedeji,oyedeol01,,3,93,587,1.2,.095,-4.3,-0.3
2000,43,MIL,Michael Redd,reddmi01,Ohio State,12,629,20104,55.9,.134,2.2,21.4
2000,44,DET,Brian Cardinal,cardibr01,Purdue,12,456,6477,15.4,.114,-0.1,3.2
2000,45,SAC,Jabari Smith,smithja01,LSU,4,108,1063,1.3,.058,-4.3,-0.6
2000,46,TOR,DeeAndre Hulett,huletde01,College of the Sequoias,,,,,,,
2000,47,SEA,Josip Sesar,sesarjo01,,,,,,,,
2000,48,PHI,Mark Karcher,karchma01,Temple,,,,,,,
2000,49,MIL,Jason Hart,hartja01,Syracuse,9,341,5289,8.6,.078,-1.2,1.0
2000,50,UTA,Kaniel Dickens,dickeka01,Idaho,3,19,85,0.1,.055,-3.0,0.0
2000,51,MIN,Igor Rakočević,rakocig01,,1,42,244,0.1,.022,-4.9,-0.2
2000,52,MIA,Ernest Brown,browner01,Indian Hills Community College,1,3,21,-0.2,-.349,-18.2,-0.1
2000,53,DEN,Dan McClintock,mcclida01,Northern Arizona University,1,6,58,0.0,.007,-7.9,-0.1
2000,54,SAS,Cory Hightower,hightco01,Indian Hills Community College,,,,,,,
2000,55,GSW,Chris Porter,portech01,Auburn,1,51,1147,0.2,.008,-4.5,-0.7
2000,56,IND,Jaquay Walls,wallsja01,Colorado,,,,,,,
2000,57,ATL,Scoonie Penn,pennsc01,Ohio State,,,,,,,
2000,58,DAL,Pete Mickeal,mickepe01,Cincinnati,,,,,,,
2001,1,WAS,Kwame Brown,brownkw01,,12,607,13389,20.8,.074,-2.4,-1.3
2001,2,LAC,Tyson Chandler,chandty01,,19,1160,31617,102.1,.155,0.1,16.9
2001,3,ATL,Pau Gasol,gasolpa01,,18,1226,41001,144.1,.169,3.6,57.5
2001,4,CHI,Eddy Curry,curryed01,,11,527,13109,21.7,.080,-2.4,-1.3
2001,5,GSW,Jason Richardson,richaja01,Michigan State,13,857,29241,59.1,.097,1.2,23.8
2001,6,MEM,Shane Battier,battish01,Duke,13,977,30004,75.7,.121,1.7,28.2
2001,7,NJN,Eddie Griffin,griffed01,Seton Hall,5,303,6729,10.9,.078,-0.4,2.8
2001,8,CLE,DeSagana Diop,diopde01,,12,601,8403,12.8,.073,-1.9,0.2
2001,9,DET,Rodney White,whitero02,UNC Charlotte,4,218,3354,1.8,.026,-2.2,-0.1
2001,10,BOS,Joe Johnson,johnsjo02,Arkansas,18,1277,44236,82.9,.090,0.4,26.5
2001,11,BOS,Kedrick Brown,brownke01,Okaloosa-Walton Community College,4,143,1935,3.0,.074,-1.1,0.4
2001,12,SEA,Vladimir Radmanović,radmavl01,,12,737,16164,26.5,.079,-0.1,7.6
2001,13,HOU,Richard Jefferson,jefferi01,Arizona,17,1181,34293,83.0,.116,0.2,19.4
2001,14,GSW,Troy Murphy,murphtr01,Notre Dame,12,729,19921,50.3,.121,0.1,10.6
2001,15,ORL,Steven Hunter,huntest01,DePaul,8,400,5993,10.6,.085,-2.3,-0.5
2001,16,CHH,Kirk Haston,hastoki01,Indiana,2,27,134,-0.5,-.197,-13.3,-0.4
2001,17,TOR,Michael Bradley,bradlmi01,Villanova,5,173,2016,2.0,.047,-4.0,-1.0
2001,18,HOU,Jason Collins,collija04,Stanford,13,735,14974,20.1,.064,-3.7,-6.5
2001,19,POR,Zach Randolph,randoza01,Michigan State,17,1116,34616,81.1,.112,0.2,18.8
2001,20,CLE,Brendan Haywood,haywobr01,UNC,13,816,18680,43.8,.113,-1.4,2.9
2001,21,BOS,Joseph Forte,fortejo01,UNC,2,25,125,-0.4,-.166,-8.6,-0.2
2001,22,ORL,Jeryl Sasser,sasseje01,SMU,2,82,1061,0.7,.032,-2.5,-0.1
2001,23,HOU,Brandon Armstrong,armstbr01,Pepperdine,3,108,699,-0.6,-.039,-8.0,-1.0
2001,24,UTA,Raül López,lopezra01,,2,113,2135,2.1,.047,-2.4,-0.2
2001,25,SAC,Gerald Wallace,wallage01,Alabama,14,832,24731,59.7,.116,1.8,23.5
2001,26,PHI,Samuel Dalembert,dalemsa01,Seton Hall,13,886,21646,51.3,.114,-1.1,4.6
2001,27,MEM,Jamaal Tinsley,tinslja01,Iowa State,11,547,14443,17.2,.057,0.0,7.1
2001,28,SAS,Tony Parker,parketo01,,18,1254,38279,111.3,.140,1.1,30.1
2001,30,CHI,Trenton Hassell,hassetr01,Austin Peay State University,9,644,16278,13.8,.041,-2.9,-3.7
2001,31,GSW,Gilbert Arenas,arenagi01,Arizona,11,552,19351,51.3,.127,2.6,22.3
2001,32,ORL,Omar Cook,cookom01,St. John's,2,22,213,-0.1,-.021,-2.7,0.0
2001,33,MEM,Will Solomon,solomwi01,Clemson,2,115,1584,0.0,.000,-3.3,-0.5
2001,34,ATL,Terence Morris,morrite01,Maryland,3,139,1934,1.0,.025,-2.8,-0.4
2001,35,NJN,Brian Scalabrine,scalabr01,USC,11,520,6772,7.6,.054,-2.7,-1.2
2001,36,CLE,Jeff Trepagnier,trepaje01,USC,3,31,270,-0.2,-.038,-2.8,-0.1
2001,37,PHI,Damone Brown,brownda02,Syracuse,4,39,351,-0.7,-.100,-8.6,-0.6
2001,38,DET,Mehmet Okur,okurme01,,10,634,18429,54.7,.142,1.1,14.5
2001,39,NYK,Michael Wright,wrighmi01,Arizona,,,,,,,
2001,40,SEA,Earl Watson,watsoea01,UCLA,13,878,19494,19.2,.047,-1.4,2.8
2001,41,IND,Jamison Brewer,breweja01,Auburn,4,54,468,0.0,-.001,-2.4,0.0
2001,42,SEA,Bobby Simmons,simmobo01,DePaul,10,466,11513,20.1,.084,-0.7,3.6
2001,43,NYK,Eric Chenowith,chenoer01,Kansas,,,,,,,
2001,44,DAL,Kyle Hill,hillky01,Eastern Illinois University,,,,,,,
2001,45,CHI,Sean Lampley,lamplse01,California,2,45,550,1.1,.096,-1.7,0.0
2001,46,MIN,Loren Woods,woodslo01,Arizona,6,215,2428,3.1,.062,-2.5,-0.3
2001,47,DEN,Ousmane Cisse,cisseou01,,,,,,,,
2001,48,MEM,Antonis Fotsis,fotsian01,,1,28,320,0.1,.017,-3.4,-0.1
2001,49,MIA,Ken Johnson,johnske03,Ohio State,1,16,156,0.0,-.002,-6.8,-0.2
2001,50,POR,Ruben Boumtje-Boumtje,boumtru01,Georgetown,3,44,276,0.2,.027,-5.4,-0.2
2001,51,PHO,Alton Ford,fordal02,Houston,3,73,524,0.8,.074,-6.4,-0.6
