source,name,norm_name,height_wo_shoes,height_wo_shoes_in,weight_lbs,wingspan_listed,wingspan_in,standing_reach,standing_reach_in
On3 combine measurements,AJ Dybantsa,aj dybantsa,6’8.5″,80.5,217.0,7’0.25″,84.25,8’10”,106.0
On3 combine measurements,BYU,byu,6’8.5″,80.5,217.0,7’0.25″,84.25,8’10”,106.0
On3 combine measurements,Darryn Peterson,darryn peterson,6’4.5″,76.5,198.8,6’9.75″,81.75,8’7″,103.0
On3 combine measurements,Kansas,kansas,6’4.5″,76.5,198.8,6’9.75″,81.75,8’7″,103.0
On3 combine measurements,Cameron Boozer,cameron boozer,6’8.25″,80.25,252.8,7’1.5″,85.5,9’0″,108.0
On3 combine measurements,Duke,duke,6’8.25″,80.25,252.8,7’1.5″,85.5,9’0″,108.0
On3 combine measurements,Caleb Wilson,caleb wilson,6’9.25″,81.25,210.8,7’0.25″,84.25,9’0″,108.0
On3 combine measurements,North Carolina,north carolina,6’9.25″,81.25,210.8,7’0.25″,84.25,9’0″,108.0
On3 combine measurements,NBA Combine Measurements: Winners,nba combine measurements winners,6’3.5″,75.5,190.2,6’7.5″,79.5,8’4.5″,100.5
On3 combine measurements,Mikel Brown,mikel brown,6’3.5″,75.5,190.2,6’7.5″,79.5,8’4.5″,100.5
On3 combine measurements,Louisville,louisville,6’3.5″,75.5,190.2,6’7.5″,79.5,8’4.5″,100.5
On3 combine measurements,Nate Ament,nate ament,6’9.5″,81.5,210.8,6’11.5″,83.5,9’1.5″,109.5
On3 combine measurements,Tennessee,tennessee,6’9.5″,81.5,210.8,6’11.5″,83.5,9’1.5″,109.5
On3 combine measurements,Jayden Quaintance,jayden quaintance,6’9″,81.0,253.4,7’5.25″,89.25,9’1″,109.0
On3 combine measurements,Kentucky,kentucky,6’9″,81.0,253.4,7’5.25″,89.25,9’1″,109.0
On3 combine measurements,Aday Mara,aday mara,7’3″,87.0,259.8,7’6″,90.0,9’9″,117.0
On3 combine measurements,Michigan,michigan,7’3″,87.0,259.8,7’6″,90.0,9’9″,117.0
On3 combine measurements,Hannes Steinbach,hannes steinbach,6’10.25″,82.25,248.0,7’2.25″,86.25,9’0″,108.0
On3 combine measurements,Washington,washington,6’10.25″,82.25,248.0,7’2.25″,86.25,9’0″,108.0
On3 combine measurements,Chris Cenac,chris cenac,6’10.25″,82.25,239.6,7’5″,89.0,9’0.5″,108.5
On3 combine measurements,Houston,houston,6’10.25″,82.25,239.6,7’5″,89.0,9’0.5″,108.5
On3 combine measurements,NBA Combine Measurements: Losers,nba combine measurements losers,6’5″,77.0,188.0,6’6.25″,78.25,8’4″,100.0
On3 combine measurements,Keaton Wagler,keaton wagler,6’5″,77.0,188.0,6’6.25″,78.25,8’4″,100.0
On3 combine measurements,Illinois,illinois,6’5″,77.0,188.0,6’6.25″,78.25,8’4″,100.0
On3 combine measurements,Kingston Flemings,kingston flemings,6’2.5″,74.5,183.4,6’3.5″,75.5,8’2.5″,98.5
On3 combine measurements,Bennett Stirtz,bennett stirtz,6’2.5″,74.5,186.2,6’6″,78.0,8’2.5″,98.5
On3 combine measurements,Iowa,iowa,6’2.5″,74.5,186.2,6’6″,78.0,8’2.5″,98.5
On3 combine measurements,Christian Anderson,christian anderson,6’0.75″,72.75,180.4,6’6.25″,78.25,8’0.5″,96.5
On3 combine measurements,Texas Tech,texas tech,6’0.75″,72.75,180.4,6’6.25″,78.25,8’0.5″,96.5
On3 combine measurements,Amari Allen,amari allen,6’5.25″,77.25,204.6,6’8″,80.0,8’3.5″,99.5
On3 combine measurements,Alabama,alabama,6’5.25″,77.25,204.6,6’8″,80.0,8’3.5″,99.5
