norm_name,name,sources_count,consensus_mean,consensus_median,consensus_std,consensus_min,consensus_max,sources,rank_tankathon,rank_rookie_scale_consensus,rank_cbs_prospect_rankings,rank_bleacher_report_mock,rank_nba_draft_room_big_board,rank_tankathon_mock,rank_cbs_mock,rank_yahoo_koc_big_board,rank_the_ringer_big_board
aj dybantsa,AJ Dybantsa,9,1.3333333333333333,1.0,0.6666666666666667,1,3,Bleacher Report mock;CBS mock;CBS prospect rankings;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock;The Ringer big board;Yahoo/KOC big board,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
darryn peterson,Darryn Peterson,9,2.111111111111111,2.0,0.3142696805273545,2,3,Bleacher Report mock;CBS mock;CBS prospect rankings;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock;The Ringer big board;Yahoo/KOC big board,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0
cameron boozer,Cameron Boozer,9,2.6666666666666665,3.0,0.9428090415820634,1,4,Bleacher Report mock;CBS mock;CBS prospect rankings;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock;The Ringer big board;Yahoo/KOC big board,1.0,3.0,3.0,3.0,4.0,3.0,3.0,1.0,3.0
caleb wilson,Caleb Wilson,9,3.888888888888889,4.0,0.3142696805273545,3,4,Bleacher Report mock;CBS mock;CBS prospect rankings;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock;The Ringer big board;Yahoo/KOC big board,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0
keaton wagler,Keaton Wagler,9,5.444444444444445,5.0,0.9558139185602919,5,8,Bleacher Report mock;CBS mock;CBS prospect rankings;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock;The Ringer big board;Yahoo/KOC big board,5.0,5.0,5.0,5.0,8.0,5.0,5.0,6.0,5.0
darius acuff,Darius Acuff Jr.,9,6.222222222222222,6.0,0.41573970964154905,6,7,Bleacher Report mock;CBS mock;CBS prospect rankings;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock;The Ringer big board;Yahoo/KOC big board,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0
kingston flemings,Kingston Flemings,8,7.5,7.0,1.5811388300841898,5,11,Bleacher Report mock;CBS mock;CBS prospect rankings;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock;The Ringer big board,7.0,8.0,7.0,7.0,5.0,7.0,8.0,,11.0
mikel brown,Mikel Brown Jr.,9,7.888888888888889,8.0,1.5234788000891208,5,10,Bleacher Report mock;CBS mock;CBS prospect rankings;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock;The Ringer big board;Yahoo/KOC big board,9.0,7.0,8.0,8.0,7.0,10.0,7.0,5.0,10.0
brayden burries,Brayden Burries,9,8.555555555555555,9.0,1.0657403385139377,6,10,Bleacher Report mock;CBS mock;CBS prospect rankings;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock;The Ringer big board;Yahoo/KOC big board,8.0,10.0,9.0,9.0,9.0,9.0,9.0,8.0,6.0
yaxel lendeborg,Yaxel Lendeborg,7,11.571428571428571,12.0,1.498298354528788,8,13,Bleacher Report mock;CBS mock;CBS prospect rankings;Rookie Scale consensus;Tankathon;Tankathon mock;The Ringer big board,12.0,12.0,12.0,13.0,,12.0,12.0,,8.0
