source_dataset,draft_year,pick,player,norm_name,position,school,conference,age_at_draft,height_in,weight_lbs,games,mp,ts_pct,efg_pct,three_par,ftr,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,obpm,dbpm,bpm,ast_to_tov,pts_per40,reb_per40,ast_per40,stl_per40,blk_per40,tov_per40,ft_pct,three_pct,three_pa_per40,draft_score,nba_mpg,career_games,career_minutes,career_ws,career_ws48,career_bpm,career_vorp,combine_height_no_shoes_in,combine_height_with_shoes_in,wingspan_in,standing_reach_in,max_vert_in,standing_vert_in,combine_weight_lbs,lane_agility_s,sprint_s,fte_projected_spm,fte_superstar_prob,fte_starter_prob,fte_role_player_prob,fte_bust_prob,outcome_mpg,outcome_tier,outcome_value
woodfin8/Draft_Machine combined_data.csv,2000,1.0,Kenyon Martin,kenyon martin,,cincinnati,,,81.0,,116.0,2042.0,0.592,0.587,,0.494,,,,,,,14.3,,,,,,25.053868756121453,17.02252693437806,2.7815866797257587,2.428991185112635,5.719882468168462,2.7228207639569053,0.581,0.222,0.039177277179236,,30.6,757.0,23134.0,48.0,0.1,0.7,15.5,,,,,,,,,,,,,,,30.6,star,30.6
woodfin8/Draft_Machine combined_data.csv,2000,2.0,Stromile Swift,stromile swift,,lsu,,,81.0,,50.0,1332.0,0.585,0.569,,0.566,,,,,,,18.0,,,,,,20.15015015015015,10.45045045045045,1.1111111111111112,1.951951951951952,3.903903903903904,3.783783783783784,0.613,0.242,0.2402402402402402,,19.8,547.0,10804.0,21.3,0.095,-1.9,0.2,,,,,,,,,,,,,,,19.8,rotation,19.8
woodfin8/Draft_Machine combined_data.csv,2000,4.0,Marcus Fizer,marcus fizer,,iowa state,,,81.0,,97.0,2204.0,0.558,0.519,,0.453,,,,,,,12.1,,,,,,33.21234119782214,12.994555353901996,1.705989110707804,1.6333938294010888,1.6152450090744104,4.083484573502723,0.702,0.292,0.3811252268602541,,20.9,289.0,6032.0,2.7,0.022,-4.7,-4.1,,,,,,,,,,,,,,,20.9,rotation,20.9
woodfin8/Draft_Machine combined_data.csv,2000,5.0,Mike Miller,mike miller,,florida,,,80.0,,65.0,1735.0,0.586,0.547,,0.473,,,,,,,16.0,,,,,,19.87319884726225,8.968299711815561,3.435158501440922,1.8674351585014408,0.5072046109510087,3.227665706051873,0.718,0.345,1.798270893371758,,26.9,1032.0,27812.0,60.7,0.105,0.9,20.3,,,,,,,,,,,,,,,26.9,starter,26.9
woodfin8/Draft_Machine combined_data.csv,2000,6.0,DerMarr Johnson,dermarr johnson,,cincinnati,,,81.0,,32.0,879.0,0.594,0.567,,0.324,,,,,,,12.0,,,,,,18.293515358361773,5.597269624573379,2.04778156996587,1.410693970420933,1.3651877133105803,2.0932878270762227,0.737,0.371,2.3663253697383397,,17.2,344.0,5930.0,6.4,0.052,-1.6,0.6,,,,,,,,,,,,,,,17.2,rotation,17.2
woodfin8/Draft_Machine combined_data.csv,2000,7.0,Chris Mihm,chris mihm,,texas,,,84.0,,96.0,2041.0,0.548,0.501,,0.581,,,,,,,14.6,,,,,,27.51592356687898,18.5203331700147,1.077902988731014,0.7055365017148457,5.173934345908869,3.1161195492405684,0.684,0.3,0.1763841254287114,,20.1,436.0,8758.0,13.3,0.073,-3.8,-4.1,,,,,,,,,,,,,,,20.1,rotation,20.1
woodfin8/Draft_Machine combined_data.csv,2000,8.0,Jamal Crawford,jamal crawford,,michigan,,,78.0,,17.0,577.0,0.507,0.476,,0.2,,,,,,,16.0,,,,,,19.61871750433276,3.2582322357019065,5.268630849220104,1.317157712305026,1.1091854419410745,3.6741767764298094,0.784,0.327,2.2876949740034664,,29.4,1326.0,38988.0,60.6,0.075,-1.1,8.9,,,,,,,,,,,,,,,29.4,starter,29.4
woodfin8/Draft_Machine combined_data.csv,2000,9.0,Joel Przybilla,joel przybilla,,minnesota,,,85.0,,49.0,1351.0,0.583,0.591,,0.479,,,,,,,25.2,,,,,,14.418948926720947,10.037009622501852,2.6943005181347157,0.9770540340488528,4.885270170244263,4.174685418208735,0.521,0.3291618569636134,0.0,,19.8,592.0,11733.0,23.0,0.094,-0.9,3.3,,,,,,,,,,,,,,,19.8,rotation,19.8
woodfin8/Draft_Machine combined_data.csv,2000,10.0,Keyon Dooling,keyon dooling,,missouri,,,75.0,,59.0,1659.0,0.531,0.472,,0.51,,,,,,,16.6,,,,,,17.26341169379144,3.423749246534057,4.773960216998192,1.832429174201326,0.699216395418927,3.23086196503918,0.733,0.338,1.61543098251959,,19.4,728.0,14134.0,18.5,0.063,-3.0,-3.6,,,,,,,,,,,,,,,19.4,rotation,19.4
woodfin8/Draft_Machine combined_data.csv,2000,11.0,Jerome Moiso,jerome moiso,,ucla,,,82.0,,62.0,1661.0,0.521,0.499,,0.362,,,,,,,16.5,,,,,,17.8687537627935,10.138470800722455,1.589403973509934,1.468994581577363,1.950632149307646,3.395544852498495,0.614,0.227,0.1204093919325707,,9.6,145.0,1392.0,2.1,0.074,-3.8,-0.6,,,,,,,,,,,,,,,9.6,bench,9.6
