norm_name,prospect,comp_rank,distance,comp_player,comp_draft_year,comp_pick,comp_outcome_mpg,comp_outcome_tier
cameron boozer,Cameron Boozer,1,3.4617796821899227,Zion Williamson,2019,1.0,31.6,star
cameron boozer,Cameron Boozer,2,3.8961505926829347,Derrick Williams,2011,2.0,20.7,rotation
cameron boozer,Cameron Boozer,3,3.9804281069068272,Grant Williams,2019,22.0,21.8,rotation
cameron boozer,Cameron Boozer,4,4.303810021049918,Frank Kaminsky,2015,9.0,19.8,rotation
cameron boozer,Cameron Boozer,5,4.385939127564558,Jared Sullinger,2012,21.0,24.3,starter
darryn peterson,Darryn Peterson,1,2.5309437690403715,Kentavious Caldwell-Pope,2013,8.0,29.6,starter
darryn peterson,Darryn Peterson,2,2.557218074434742,Jarrett Culver,2019,6.0,17.2,rotation
darryn peterson,Darryn Peterson,3,2.690988578421242,DAngelo Russell,2015,2.0,29.9,starter
darryn peterson,Darryn Peterson,4,2.7758654715226587,TJ Warren,2014,14.0,27.4,starter
darryn peterson,Darryn Peterson,5,3.0589210757770053,Klay Thompson,2011,11.0,32.8,starter
aj dybantsa,AJ Dybantsa,1,2.581449903140446,RJ Barrett,2019,3.0,33.3,star
aj dybantsa,AJ Dybantsa,2,2.5929032353479986,TJ Warren,2014,14.0,27.4,starter
aj dybantsa,AJ Dybantsa,3,2.8638380893104225,Jarrett Culver,2019,6.0,17.2,rotation
aj dybantsa,AJ Dybantsa,4,2.8679048285986113,Alec Burks,2011,12.0,22.8,rotation
aj dybantsa,AJ Dybantsa,5,2.9733762424491696,Cade Cunningham,2021,1.0,33.3,star
caleb wilson,Caleb Wilson,1,2.4551054371064485,Grant Williams,2019,22.0,21.8,rotation
caleb wilson,Caleb Wilson,2,2.505159521003333,Cody Zeller,2013,4.0,21.2,rotation
caleb wilson,Caleb Wilson,3,2.679630263913246,Brice Johnson,2016,25.0,5.1,bust
caleb wilson,Caleb Wilson,4,2.7584792004557963,Otto Porter,2013,3.0,25.4,starter
caleb wilson,Caleb Wilson,5,2.921951817181568,Marvin Bagley,2018,2.0,24.1,starter
keaton wagler,Keaton Wagler,1,2.2238309243896173,Ben McLemore,2013,7.0,22.5,rotation
keaton wagler,Keaton Wagler,2,2.337786428650303,Luke Kennard,2017,12.0,23.3,rotation
keaton wagler,Keaton Wagler,3,2.6217710848163294,Gary Harris,2014,19.0,28.1,starter
keaton wagler,Keaton Wagler,4,2.7669866741583906,Devin Booker,2015,13.0,33.9,starter
keaton wagler,Keaton Wagler,5,2.786108829710238,Nik Stauskas,2014,8.0,19.5,rotation
darius acuff,Darius Acuff Jr.,1,2.7213219765261987,Cameron Payne,2015,14.0,17.9,rotation
darius acuff,Darius Acuff Jr.,2,2.723945694354735,Willie Warren,2010,54.0,7.0,bust
darius acuff,Darius Acuff Jr.,3,2.7252176378903434,Trey Burke,2013,9.0,20.9,rotation
darius acuff,Darius Acuff Jr.,4,2.9243107261679717,Markelle Fultz,2017,1.0,26.2,starter
darius acuff,Darius Acuff Jr.,5,3.0714715856009978,DAngelo Russell,2015,2.0,29.9,starter
kingston flemings,Kingston Flemings,1,1.8969472381222308,Trey Burke,2013,9.0,20.9,rotation
kingston flemings,Kingston Flemings,2,2.734812577748488,Gary Harris,2014,19.0,28.1,starter
kingston flemings,Kingston Flemings,3,2.75108326127808,Jonny Flynn,2009,6.0,22.9,rotation
kingston flemings,Kingston Flemings,4,2.7901133257823854,Monte Morris,2017,51.0,25.6,starter
kingston flemings,Kingston Flemings,5,3.0012737549317583,Kemba Walker,2011,9.0,33.1,star
brayden burries,Brayden Burries,1,2.148390595292065,Jimmy Butler,2011,30.0,33.2,star
brayden burries,Brayden Burries,2,2.1869766979530207,Luke Kennard,2017,12.0,23.3,rotation
brayden burries,Brayden Burries,3,2.2085113891589576,Gary Harris,2014,19.0,28.1,starter
brayden burries,Brayden Burries,4,2.2489703395261653,Ben McLemore,2013,7.0,22.5,rotation
brayden burries,Brayden Burries,5,2.280577333869195,Chase Budinger,2009,44.0,19.7,rotation
mikel brown,Mikel Brown Jr.,1,2.1388803290392926,Collin Sexton,2018,8.0,30.2,starter
mikel brown,Mikel Brown Jr.,2,2.159426962620575,Elfrid Payton,2014,10.0,26.8,starter
mikel brown,Mikel Brown Jr.,3,2.2176815177003126,Willie Warren,2010,54.0,7.0,bust
mikel brown,Mikel Brown Jr.,4,2.238002067912469,Saben Lee,2020,38.0,15.1,rotation
mikel brown,Mikel Brown Jr.,5,2.2420334732163103,Jordan Crawford,2010,27.0,24.4,starter
nate ament,Nate Ament,1,1.5113158650246983,Cade Cunningham,2021,1.0,33.3,star
nate ament,Nate Ament,2,1.5295303010185795,Jayson Tatum,2017,3.0,34.1,starter
nate ament,Nate Ament,3,1.5727203224058022,Andrew Wiggins,2014,1.0,34.4,starter
nate ament,Nate Ament,4,1.7608402729372215,Tobias Harris,2011,19.0,31.6,starter
nate ament,Nate Ament,5,1.8032158533641809,CJ Elleby,2020,46.0,15.5,rotation
labaron philon,Labaron Philon Jr.,1,2.1270447768752345,Erick Green,2013,46.0,8.7,bench
labaron philon,Labaron Philon Jr.,2,2.2223625970176055,Damian Lillard,2012,6.0,36.3,star
labaron philon,Labaron Philon Jr.,3,2.3926711142843904,Cameron Payne,2015,14.0,17.9,rotation
labaron philon,Labaron Philon Jr.,4,2.627542739684975,Nate Wolters,2013,38.0,18.7,rotation
labaron philon,Labaron Philon Jr.,5,2.6645930640774456,Trey Burke,2013,9.0,20.9,rotation
yaxel lendeborg,Yaxel Lendeborg,1,3.554644493788431,Aaron White,2015,49.0,0.0,bust
yaxel lendeborg,Yaxel Lendeborg,2,3.5738652198763505,Cameron Johnson,2019,11.0,25.4,starter
yaxel lendeborg,Yaxel Lendeborg,3,3.67099319535637,Erik Murphy,2013,49.0,2.6,bust
yaxel lendeborg,Yaxel Lendeborg,4,3.7163416757740766,Frank Kaminsky,2015,9.0,19.8,rotation
yaxel lendeborg,Yaxel Lendeborg,5,3.785187059216165,Willie Cauley-Stein,2015,6.0,22.0,rotation
karim lopez,Karim López,1,1.6262306129887372,Michael Kidd-Gilchrist,2012,2.0,24.6,starter
karim lopez,Karim López,2,1.8789360236637689,Jonathan Isaac,2017,6.0,23.1,rotation
karim lopez,Karim López,3,1.9091199854404253,Justise Winslow,2015,10.0,25.9,starter
karim lopez,Karim López,4,1.9732742666285794,OG Anunoby,2017,23.0,29.0,starter
karim lopez,Karim López,5,2.015429114935774,Moses Moody,2021,14.0,13.7,bench
cameron carr,Cameron Carr,1,1.8551224062741307,Allen Crabbe,2013,31.0,24.0,starter
cameron carr,Cameron Carr,2,2.0644214982574765,Reggie Jackson,2011,24.0,25.4,starter
cameron carr,Cameron Carr,3,2.137821383531047,Will Barton,2012,40.0,25.2,starter
cameron carr,Cameron Carr,4,2.1697477805472283,Immanuel Quickley,2020,25.0,24.5,starter
cameron carr,Cameron Carr,5,2.201645304304639,Morris Almond,2007,25.0,9.5,bench
hannes steinbach,Hannes Steinbach,1,1.6422925670065731,Jakob Poeltl,2016,9.0,21.5,rotation
hannes steinbach,Hannes Steinbach,2,1.802336863325967,Bobby Portis,2015,22.0,22.4,rotation
hannes steinbach,Hannes Steinbach,3,2.093375322702257,Justin Patton,2017,16.0,13.4,bench
hannes steinbach,Hannes Steinbach,4,2.106459125272549,Domantas Sabonis,2016,11.0,29.9,starter
hannes steinbach,Hannes Steinbach,5,2.155727869049186,Zeke Nnaji,2020,22.0,12.6,bench
chris cenac,Chris Cenac Jr.,1,1.6333235603393945,Kevon Looney,2015,30.0,18.0,rotation
chris cenac,Chris Cenac Jr.,2,1.87536445174682,Tony Bradley,2017,28.0,11.1,bench
chris cenac,Chris Cenac Jr.,3,2.0388638150037215,Trey Lyles,2015,12.0,18.2,rotation
chris cenac,Chris Cenac Jr.,4,2.073663795172372,Noah Vonleh,2014,9.0,16.2,rotation
chris cenac,Chris Cenac Jr.,5,2.0791622598343382,Jarrett Allen,2017,22.0,27.8,starter
morez johnson,Morez Johnson Jr.,1,2.0611275878922917,Jakob Poeltl,2016,9.0,21.5,rotation
morez johnson,Morez Johnson Jr.,2,2.183648446873636,Justin Patton,2017,16.0,13.4,bench
morez johnson,Morez Johnson Jr.,3,2.4127216458392775,Chinanu Onuaku,2016,37.0,12.2,bench
morez johnson,Morez Johnson Jr.,4,2.5396237389829293,Bam Adebayo,2017,14.0,29.8,starter
morez johnson,Morez Johnson Jr.,5,2.6900006506269065,Montrezl Harrell,2015,32.0,20.5,rotation
aday mara,Aday Mara,1,3.5346786441950413,Jakob Poeltl,2016,9.0,21.5,rotation
aday mara,Aday Mara,2,3.917076464379579,Karl-Anthony Towns,2015,1.0,34.0,star
aday mara,Aday Mara,3,4.010927991758567,Hasheem Thabeet,2009,2.0,10.5,bench
aday mara,Aday Mara,4,4.035376649641798,Udoka Azubuike,2020,27.0,8.9,bench
aday mara,Aday Mara,5,4.063943528251251,Chinanu Onuaku,2016,37.0,12.2,bench
jayden quaintance,Jayden Quaintance,1,2.430053230134974,Stephen Zimmerman,2016,41.0,5.7,bust
jayden quaintance,Jayden Quaintance,2,2.585509794045203,Ike Anigbogu,2017,47.0,2.6,bust
jayden quaintance,Jayden Quaintance,3,2.6106076315773388,Harry Giles,2017,20.0,12.4,bench
jayden quaintance,Jayden Quaintance,4,2.686942224945886,Andre Drummond,2012,9.0,27.5,starter
jayden quaintance,Jayden Quaintance,5,3.0510416709062778,Jarrett Allen,2017,22.0,27.8,starter
bennett stirtz,Bennett Stirtz,1,1.89015982741453,Tyshawn Taylor,2012,41.0,8.0,bench
bennett stirtz,Bennett Stirtz,2,1.9669769904058039,Marcus Denmon,2012,59.0,0.0,bust
bennett stirtz,Bennett Stirtz,3,1.9919172947565733,Toney Douglas,2009,29.0,19.1,rotation
bennett stirtz,Bennett Stirtz,4,1.995661841858598,Nolan Smith,2011,21.0,9.9,bench
bennett stirtz,Bennett Stirtz,5,2.0388627673955453,Derrick White,2017,29.0,27.1,starter
dailyn swain,Dailyn Swain,1,1.592249455310853,Kyle Korver,2003,51.0,25.4,starter
dailyn swain,Dailyn Swain,2,1.725008665436866,Luke Jackson,2004,10.0,9.9,bench
dailyn swain,Dailyn Swain,3,1.792658071096593,Mike Miller,2000,5.0,26.9,starter
dailyn swain,Dailyn Swain,4,1.8206371606549114,Ryan Gomes,2005,50.0,27.6,starter
dailyn swain,Dailyn Swain,5,1.9329304271501024,Reyshawn Terry,2007,44.0,0.0,bust
christian anderson,Christian Anderson,1,2.04304092482846,Jonny Flynn,2009,6.0,22.9,rotation
christian anderson,Christian Anderson,2,2.4975053065331134,John Wall,2010,1.0,34.9,star
christian anderson,Christian Anderson,3,2.5601042037589807,Jeff Teague,2009,19.0,26.8,starter
christian anderson,Christian Anderson,4,2.5933925280581,Darren Collison,2009,21.0,29.3,starter
christian anderson,Christian Anderson,5,2.597855516217018,Edmond Sumner,2017,52.0,14.0,bench
allen graves,Allen Graves,1,2.458536336277527,Chuma Okeke,2019,16.0,22.2,rotation
allen graves,Allen Graves,2,2.7240203288408327,Jae Crowder,2012,34.0,25.1,starter
allen graves,Allen Graves,3,2.8682598218514337,Otto Porter,2013,3.0,25.4,starter
allen graves,Allen Graves,4,2.9121657368967373,Victor Oladipo,2013,2.0,32.2,starter
allen graves,Allen Graves,5,3.0415138081145416,Jordan Adams,2014,22.0,8.2,bench
ebuka okorie,Ebuka Okorie,1,2.29715856903234,DAngelo Russell,2015,2.0,29.9,starter
ebuka okorie,Ebuka Okorie,2,2.421838261096061,Markelle Fultz,2017,1.0,26.2,starter
ebuka okorie,Ebuka Okorie,3,2.4239397781846135,Gary Harris,2014,19.0,28.1,starter
ebuka okorie,Ebuka Okorie,4,2.4243997272960454,Malik Monk,2017,11.0,21.3,rotation
ebuka okorie,Ebuka Okorie,5,2.5371404512485163,Alec Burks,2011,12.0,22.8,rotation
koa peat,Koa Peat,1,1.7201690017308666,Jeremiah Robinson-Earl,2021,32.0,19.2,rotation
koa peat,Koa Peat,2,1.8187108848539013,Miles Bridges,2018,12.0,29.8,starter
koa peat,Koa Peat,3,2.002084816726511,Tobias Harris,2011,19.0,31.6,starter
koa peat,Koa Peat,4,2.100675118218762,Julius Randle,2014,7.0,32.0,starter
koa peat,Koa Peat,5,2.1597478028945485,Ignas Brazdeikis,2019,47.0,13.1,bench
isaiah evans,Isaiah Evans,1,1.5903574662506095,Ben McLemore,2013,7.0,22.5,rotation
isaiah evans,Isaiah Evans,2,1.7209240649961604,Jeremy Lamb,2012,12.0,20.8,rotation
isaiah evans,Isaiah Evans,3,1.938924376691804,Immanuel Quickley,2020,25.0,24.5,starter
isaiah evans,Isaiah Evans,4,1.9423031128444757,Allen Crabbe,2013,31.0,24.0,starter
isaiah evans,Isaiah Evans,5,1.967620599162873,Morris Almond,2007,25.0,9.5,bench
joshua jefferson,Joshua Jefferson,1,2.056252105476274,Draymond Green,2012,35.0,28.7,starter
joshua jefferson,Joshua Jefferson,2,2.3106604889050306,Lamar Patterson,2014,48.0,10.9,bench
joshua jefferson,Joshua Jefferson,3,2.8866246322939215,Desmond Bane,2020,30.0,28.9,starter
joshua jefferson,Joshua Jefferson,4,2.992868075810845,Josh Hart,2017,30.0,28.3,starter
joshua jefferson,Joshua Jefferson,5,3.1159839267740956,Kris Dunn,2016,5.0,23.4,rotation
meleek thomas,Meleek Thomas,1,1.5816129651470958,Malik Beasley,2016,19.0,22.6,rotation
meleek thomas,Meleek Thomas,2,2.021472374827463,Bradley Beal,2012,3.0,34.6,star
meleek thomas,Meleek Thomas,3,2.0399232869313693,Gary Harris,2014,19.0,28.1,starter
meleek thomas,Meleek Thomas,4,2.0524614783738757,Eric Bledsoe,2010,18.0,27.8,starter
meleek thomas,Meleek Thomas,5,2.1663175575774365,Jared Cunningham,2012,24.0,7.2,bust
henri veesaar,Henri Veesaar,1,1.7701515175076807,Jakob Poeltl,2016,9.0,21.5,rotation
henri veesaar,Henri Veesaar,2,2.1243836172710933,Justin Harper,2011,32.0,6.8,bust
henri veesaar,Henri Veesaar,3,2.2072305690225873,Mason Plumlee,2013,22.0,22.6,rotation
henri veesaar,Henri Veesaar,4,2.2282402741121414,Jeff Pendergraph,2009,31.0,9.8,bench
henri veesaar,Henri Veesaar,5,2.27107020779304,Tyler Zeller,2012,17.0,17.5,rotation
tarris reed,Tarris Reed Jr.,1,2.717143323707114,Tyler Zeller,2012,17.0,17.5,rotation
tarris reed,Tarris Reed Jr.,2,2.9418220252086247,Rakeem Christmas,2015,36.0,7.5,bust
tarris reed,Tarris Reed Jr.,3,2.9738184377255794,Andrew Nicholson,2012,19.0,14.3,bench
tarris reed,Tarris Reed Jr.,4,3.0449565834242107,Jerome Jordan,2010,44.0,7.5,bust
tarris reed,Tarris Reed Jr.,5,3.1591154495384646,Neemias Queta,2021,39.0,9.7,bench
sergio de larrea,Sergio de Larrea,1,1.8366864590646381,Wade Baldwin,2016,17.0,10.3,bench
sergio de larrea,Sergio de Larrea,2,1.8657202828558264,Donte DiVincenzo,2018,17.0,24.1,starter
sergio de larrea,Sergio de Larrea,3,1.9795741559508695,Landry Shamet,2018,26.0,22.2,rotation
sergio de larrea,Sergio de Larrea,4,1.987420319934536,Shai Gilgeous-Alexander,2018,11.0,32.8,starter
sergio de larrea,Sergio de Larrea,5,2.0149684094242195,Derrick Rose,2008,1.0,32.7,starter
alex karaban,Alex Karaban,1,1.3191322174987397,Isaiah Livers,2021,42.0,21.8,rotation
alex karaban,Alex Karaban,2,1.667556468106972,Devon Hall,2018,53.0,7.3,bust
alex karaban,Alex Karaban,3,1.760067759036527,Terance Mann,2019,48.0,21.9,rotation
alex karaban,Alex Karaban,4,1.9214261450328614,Darius Miller,2012,46.0,19.8,rotation
alex karaban,Alex Karaban,5,1.9650664921675567,Solomon Hill,2013,23.0,21.5,rotation
zuby ejiofor,Zuby Ejiofor,1,2.623496050537674,Grant Williams,2019,22.0,21.8,rotation
zuby ejiofor,Zuby Ejiofor,2,2.871464218061654,Draymond Green,2012,35.0,28.7,starter
zuby ejiofor,Zuby Ejiofor,3,2.888174704605065,Frank Kaminsky,2015,9.0,19.8,rotation
zuby ejiofor,Zuby Ejiofor,4,2.8998991688250766,Xavier Tillman,2020,35.0,17.6,rotation
zuby ejiofor,Zuby Ejiofor,5,2.9494555687661492,Neemias Queta,2021,39.0,9.7,bench
luigi suigo,Luigi Suigo,1,2.7333016395414536,Tiny Gallon,2010,47.0,0.0,bust
luigi suigo,Luigi Suigo,2,2.847002622448565,Dakari Johnson,2015,48.0,5.2,bust
