rank,name_tankathon,position,team_school,height_listed,height_in,weight_lbs,class,age,pts_pg,reb_pg,ast_pg,blk_pg,stl_pg,pts_per36,reb_per36,ast_per36,blk_per36,stl_per36,ts_pct,usg,obpm,dbpm,bpm,source,norm_name,name,sources_count,consensus_mean,consensus_median,consensus_std,consensus_min,consensus_max,sources,rank_tankathon,rank_rookie_scale_consensus,rank_cbs_prospect_rankings,rank_bleacher_report_mock,rank_nba_draft_room_big_board,rank_tankathon_mock,rank_cbs_mock,rank_yahoo_koc_big_board,rank_the_ringer_big_board,cbs_mpg,cbs_ppg,cbs_rpg,cbs_apg,cbs_fg_pct,name_combine,height_listed_combine,height_in_combine,weight_lbs_combine,sources_combine,wingspan_listed,wingspan_in,height_wo_shoes,height_wo_shoes_in,standing_reach,standing_reach_in,display_name,name_wb,height_wo_shoes_in_wb,weight_lbs_wb,wingspan_in_wb,standing_reach_in_wb,standing_vert_in,max_vert_in,lane_agility_s,shuttle_s,sprint_s,market_rank,age_at_draft,pts_per40,reb_per40,ast_per40,stl_per40,blk_per40,tov_per40,usg_pct,position_group,ft_pct,three_pct,three_pa_per40,pred_value_p10,pred_value_p50,pred_value_p90,ridge_pred,gbm_pred,rf_pred,prob_bust,prob_bench,prob_rotation,prob_starter,prob_star,board_score,board_rank,tier,comp_players,comp_median_mpg,comp_floor_mpg,comp_ceiling_mpg,comp_tiers
3.0,AJ Dybantsa,SF,BYU,"6'9.75""",80.5,217.0,Freshman,19.4,25.5,6.8,3.7,0.3,1.1,26.4,7.1,3.8,0.4,1.1,0.6,33.9,9.5,2.2,11.7,Tankathon,aj dybantsa,AJ Dybantsa,9,1.3333333333333333,1.0,0.6666666666666667,1,3,Bleacher Report mock;CBS mock;CBS prospect rankings;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock;The Ringer big board;Yahoo/KOC big board,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,34.8,25.5,6.8,3.7,51.0,AJ Dybantsa,"6'9.75""",81.75,217.0,NBA Draft Room mock;On3 combine measurements;Tankathon;Yahoo/KOC big board,7-0 1/4,84.5,6’8.5″,80.5,8’10”,106.0,AJ Dybantsa,AJ Dybantsa,80.5,217.0,84.5,106.0,33.5,42.0,11.06,2.99,3.14,1.3333333333333333,19.4,29.333333333333332,7.888888888888889,4.222222222222222,1.2222222222222223,0.4444444444444445,,33.9,wing,,,,28.042428919657226,29.322531705932192,31.426364471007886,29.428861628411305,28.856716650670695,29.754635587672453,0.017148656502788368,0.043163951070430216,0.17599256544396683,0.3667540105770554,0.3969408164057591,1.926936407900584,1,Tier 1: primary star bets,RJ Barrett; TJ Warren; Jarrett Culver; Alec Burks; Cade Cunningham,27.4,22.8,33.3,star; starter; rotation; rotation; star
2.0,Darryn Peterson,SG/PG,Kansas,"6'5.75""",76.5,198.8,Freshman,19.4,20.2,4.2,1.6,0.6,1.4,25.0,5.2,2.0,0.8,1.8,0.578,33.5,9.3,4.8,14.1,Tankathon,darryn peterson,Darryn Peterson,9,2.111111111111111,2.0,0.3142696805273545,2,3,Bleacher Report mock;CBS mock;CBS prospect rankings;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock;The Ringer big board;Yahoo/KOC big board,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,29.0,20.2,4.2,1.6,43.8,Darryn Peterson,"6'5.75""",77.75,199.0,NBA Draft Room mock;On3 combine measurements;Tankathon;Yahoo/KOC big board,6-9 3/4,81.75,6’4.5″,76.5,8’7″,103.0,Darryn Peterson,Darryn Peterson,76.5,198.8,81.75,103.0,31.5,37.5,11.17,2.95,3.16,2.111111111111111,19.4,27.77777777777778,5.777777777777779,2.2222222222222223,2.0,0.888888888888889,,33.5,guard,,,,27.63493219003703,29.28235931952525,30.791562500183883,29.92431766344708,29.124488931583915,29.929842196576192,0.022929671330003547,0.056705819429193095,0.19211913500743535,0.521291256800637,0.20695411743273093,1.9107194367224527,2,Tier 1: primary star bets,Kentavious Caldwell-Pope; Jarrett Culver; DAngelo Russell; TJ Warren; Klay Thompson,29.6,27.4,31.639999999999997,starter; rotation; starter; starter; starter
1.0,Cameron Boozer,PF,Duke,"6'9.5""",80.25,252.8,Freshman,18.9,22.5,10.2,4.1,0.6,1.4,24.2,11.0,4.4,0.7,1.5,0.653,29.9,12.7,6.0,18.7,Tankathon,cameron boozer,Cameron Boozer,9,2.6666666666666665,3.0,0.9428090415820634,1,4,Bleacher Report mock;CBS mock;CBS prospect rankings;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock;The Ringer big board;Yahoo/KOC big board,1.0,3.0,3.0,3.0,4.0,3.0,3.0,1.0,3.0,33.5,22.5,10.2,4.1,55.6,Cameron Boozer,"6'9.5""",81.5,253.0,NBA Draft Room mock;On3 combine measurements;Tankathon;Yahoo/KOC big board,7-1 1/2,85.5,6’8.25″,80.25,9’0″,108.0,Cameron Boozer,Cameron Boozer,80.25,252.8,85.5,108.0,28.5,35.0,11.06,2.99,3.31,2.6666666666666665,18.9,26.88888888888889,12.222222222222223,4.888888888888889,1.6666666666666667,0.7777777777777778,,29.9,forward_big,,,,27.287324245760043,29.272004036864402,30.691744475631506,29.74898948377025,29.521314807022833,29.071370328371668,0.02118545376046494,0.057760009146177495,0.19414762626718107,0.42908217021842404,0.2978247406077525,1.8889772598640946,3,Tier 1: primary star bets,Zion Williamson; Derrick Williams; Grant Williams; Frank Kaminsky; Jared Sullinger,21.8,20.7,28.680000000000003,star; rotation; rotation; rotation; starter
5.0,Keaton Wagler,SG/PG,Illinois,"6'6.25""",77.0,188.0,Freshman,19.4,17.9,5.1,4.2,0.4,0.9,19.0,5.4,4.5,0.4,1.0,0.596,25.2,8.8,3.5,12.3,Tankathon,keaton wagler,Keaton Wagler,9,5.444444444444445,5.0,0.955813918560292,5,8,Bleacher Report mock;CBS mock;CBS prospect rankings;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock;The Ringer big board;Yahoo/KOC big board,5.0,5.0,5.0,5.0,8.0,5.0,5.0,6.0,5.0,33.9,17.9,5.1,4.2,44.5,Keaton Wagler,"6'6.25""",78.25,188.0,NBA Draft Room mock;On3 combine measurements;Tankathon;Yahoo/KOC big board,6-6 1/4,78.25,6’5″,77.0,8’4″,100.0,Keaton Wagler,Keaton Wagler,77.0,188.0,78.25,100.0,33.0,36.0,11.05,3.0,3.27,5.444444444444445,19.4,21.11111111111111,6.000000000000001,5.0,1.1111111111111112,0.4444444444444445,,25.2,guard,,,,28.49993390421171,29.57063791993525,30.798868222472386,28.007496760591067,29.5909695812062,29.81960587839155,0.01590206425488417,0.04475407604806872,0.14919856500416356,0.5619065526869814,0.2282387420059021,1.8338575924524223,4,Tier 2: high-lottery starters,Ben McLemore; Luke Kennard; Gary Harris; Devin Booker; Nik Stauskas,23.3,22.5,31.58,rotation; rotation; starter; starter; rotation
4.0,Caleb Wilson,SF/PF,North Carolina,"6'10.5""",81.25,210.8,Freshman,19.9,19.8,9.4,2.7,1.4,1.5,22.8,10.8,3.1,1.6,1.7,0.626,28.7,8.7,5.3,14.0,Tankathon,caleb wilson,Caleb Wilson,9,3.888888888888889,4.0,0.3142696805273545,3,4,Bleacher Report mock;CBS mock;CBS prospect rankings;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock;The Ringer big board;Yahoo/KOC big board,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,31.2,19.8,9.4,2.7,57.8,Caleb Wilson,"6'10.5""",82.5,211.0,NBA Draft Room mock;On3 combine measurements;Tankathon;Yahoo/KOC big board,7-0 1/4,84.25,6’9.25″,81.25,9’0″,108.0,Caleb Wilson,Caleb Wilson,81.25,210.8,84.25,108.0,34.5,39.5,11.17,3.11,3.23,3.888888888888889,19.9,25.333333333333336,12.000000000000002,3.4444444444444446,1.8888888888888888,1.777777777777778,,28.7,wing,,,,26.902982171300643,28.29485920918782,30.26668312268433,29.290637615571328,28.10063657056494,28.61477634946326,0.01908561454412558,0.0498338237436427,0.21995392373448217,0.3453654907658971,0.3657611472118524,1.825996008281553,5,Tier 2: high-lottery starters,Grant Williams; Cody Zeller; Brice Johnson; Otto Porter; Marvin Bagley,21.8,21.2,24.88,rotation; rotation; bust; starter; starter
7.0,Kingston Flemings,PG,Houston,"6'3.75""",74.5,183.4,Freshman,19.5,16.1,4.1,5.2,0.3,1.5,18.2,4.6,5.9,0.4,1.7,0.563,26.0,6.6,6.0,12.6,Tankathon,kingston flemings,Kingston Flemings,8,7.5,7.0,1.5811388300841898,5,11,Bleacher Report mock;CBS mock;CBS prospect rankings;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock;The Ringer big board,7.0,8.0,7.0,7.0,5.0,7.0,8.0,,11.0,31.7,16.1,4.1,5.2,47.6,Kingston Flemings,"6'3.75""",75.75,183.0,NBA Draft Room mock;On3 combine measurements;Tankathon,6-3 1/2,75.5,6’2.5″,74.5,8’2.5″,98.5,Kingston Flemings,Kingston Flemings,74.5,183.4,75.5,98.5,33.5,40.5,10.61,2.69,3.07,7.5,19.5,20.22222222222222,5.111111111111111,6.555555555555556,1.8888888888888888,0.4444444444444445,,26.0,guard,,,,26.425258739951094,28.887744726397965,30.684062893603464,29.38150769933834,29.502663400414644,28.719538448048688,0.014312751810754127,0.04926191418464851,0.4015672438498984,0.40220239193613166,0.13265569821856737,1.7474244076445482,6,Tier 2: high-lottery starters,Trey Burke; Gary Harris; Jonny Flynn; Monte Morris; Kemba Walker,25.6,22.9,31.1,rotation; starter; rotation; starter; star
6.0,Darius Acuff Jr.,PG,Arkansas,"6'3.25""",74.0,185.8,Freshman,19.6,23.5,3.1,6.4,0.3,0.8,24.1,3.2,6.6,0.3,0.9,0.604,29.5,9.4,0.7,10.1,Tankathon,darius acuff,Darius Acuff Jr.,9,6.222222222222222,6.0,0.415739709641549,6,7,Bleacher Report mock;CBS mock;CBS prospect rankings;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock;The Ringer big board;Yahoo/KOC big board,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,35.2,23.5,3.1,6.4,48.4,Darius Acuff Jr.,"6'3.25""",75.25,186.0,NBA Draft Room mock;Tankathon;Yahoo/KOC big board,6-7,78.5,,,,98.5,Darius Acuff Jr.,Darius Acuff Jr.,74.0,185.8,78.5,98.5,31.5,36.5,10.99,2.93,3.06,6.222222222222222,19.6,26.777777777777782,3.555555555555556,7.333333333333333,1.0,0.3333333333333333,,29.5,guard,,,,25.52043168206463,27.154287183422248,29.0964570847792,26.429594834075864,26.84022540717547,28.72685709169649,0.020022606796934617,0.10518860838519005,0.242517047917579,0.5375361058470551,0.09473563105324125,1.7200748475465082,7,Tier 2: high-lottery starters,Cameron Payne; Willie Warren; Trey Burke; Markelle Fultz; DAngelo Russell,20.9,17.9,28.419999999999998,rotation; bust; rotation; starter; starter
9.0,Mikel Brown Jr.,PG,Louisville,"6'4.75""",75.5,190.2,Freshman,20.2,18.2,3.3,4.7,0.1,1.2,22.4,4.1,5.8,0.2,1.5,0.577,31.4,4.9,1.7,6.6,Tankathon,mikel brown,Mikel Brown Jr.,9,7.888888888888889,8.0,1.5234788000891208,5,10,Bleacher Report mock;CBS mock;CBS prospect rankings;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock;The Ringer big board;Yahoo/KOC big board,9.0,7.0,8.0,8.0,7.0,10.0,7.0,5.0,10.0,29.0,18.2,3.3,4.7,41.0,Mikel Brown Jr.,"6'4.75""",76.75,190.0,NBA Draft Room mock;On3 combine measurements;Tankathon;Yahoo/KOC big board,6-7 1/2,79.5,6’3.5″,75.5,8’4.5″,100.5,Mikel Brown Jr.,Mikel Brown Jr.,75.5,190.2,79.5,100.5,33.5,39.5,10.57,2.89,3.24,7.888888888888889,20.2,24.88888888888889,4.555555555555555,6.444444444444445,1.6666666666666667,0.22222222222222224,,31.4,guard,,,,23.2071576584061,24.925156891623555,26.938965223954632,27.335561340975808,24.661343395154564,24.585722743709056,0.021360507981041853,0.07363449786609268,0.2558811672641032,0.5508635239372253,0.0982603029515371,1.5720987920128628,8,Tier 2: high-lottery starters,Collin Sexton; Elfrid Payton; Willie Warren; Saben Lee; Jordan Crawford,24.4,15.1,28.84,starter; starter; bust; rotation; starter
8.0,Brayden Burries,SG/PG,Arizona,"6'5""",75.75,215.4,Freshman,20.8,16.1,4.9,2.4,0.2,1.5,19.4,5.9,2.9,0.2,1.8,0.616,23.2,6.0,5.7,11.7,Tankathon,brayden burries,Brayden Burries,9,8.555555555555555,9.0,1.0657403385139377,6,10,Bleacher Report mock;CBS mock;CBS prospect rankings;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock;The Ringer big board;Yahoo/KOC big board,8.0,10.0,9.0,9.0,9.0,9.0,9.0,8.0,6.0,29.9,16.1,4.9,2.4,49.1,Brayden Burries,"6'5""",77.0,215.0,NBA Draft Room mock;Tankathon;Yahoo/KOC big board,6-6,78.0,,,,98.5,Brayden Burries,Brayden Burries,75.75,215.4,78.0,98.5,35.0,38.5,10.59,2.92,3.21,8.555555555555555,20.8,21.555555555555554,6.555555555555556,3.2222222222222223,2.0,0.22222222222222224,,23.2,guard,,,,23.1664811177045,25.025870295432796,26.75995997554599,27.180337479063432,25.42112627189072,25.61460243621271,0.029125171175454358,0.06933546577544256,0.2901850065346721,0.383296830429675,0.22805752608475602,1.5658132378644927,9,Tier 3: starter/plus-rotation bets,Jimmy Butler; Luke Kennard; Gary Harris; Ben McLemore; Chase Budinger,23.3,22.5,31.160000000000004,star; rotation; starter; rotation; rotation
11.0,Labaron Philon Jr.,PG,Alabama,"6'3.75""",74.5,176.2,Sophomore,20.6,22.0,3.5,5.0,0.2,1.2,25.6,4.1,5.8,0.2,1.3,0.626,30.0,9.2,2.1,11.3,Tankathon,labaron philon,Labaron Philon Jr.,8,12.5,13.0,1.6583123951777,9,14,Bleacher Report mock;CBS mock;CBS prospect rankings;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock;The Ringer big board,11.0,14.0,14.0,14.0,12.0,13.0,13.0,,9.0,30.9,22.0,3.5,5.0,50.1,Labaron Philon Jr.,"6'3.75""",75.75,176.0,NBA Draft Room mock;Tankathon,6-6 1/4,78.25,,,,99.5,Labaron Philon Jr.,Labaron Philon,74.5,176.2,78.25,99.5,30.5,35.0,11.55,3.13,3.09,12.5,20.6,28.444444444444446,4.555555555555555,6.444444444444445,1.4444444444444446,0.22222222222222224,,30.0,guard,,,,21.354201733494424,23.610339352864656,25.133860353006057,24.556098214073693,22.264137906079966,21.1438825951849,0.03332664233993266,0.16472429534906602,0.40066168976509026,0.3649679337982081,0.03631943874770297,1.4030773588134926,10,Tier 3: starter/plus-rotation bets,Erick Green; Damian Lillard; Cameron Payne; Nate Wolters; Trey Burke,18.7,17.9,30.14,bench; star; rotation; rotation; rotation
