rank,name_tankathon,position,team_school,height_listed,height_in,weight_lbs,class,age,pts_pg,reb_pg,ast_pg,blk_pg,stl_pg,pts_per36,reb_per36,ast_per36,blk_per36,stl_per36,ts_pct,usg,obpm,dbpm,bpm,source,norm_name,name,sources_count,consensus_mean,consensus_median,consensus_std,consensus_min,consensus_max,sources,rank_tankathon,rank_rookie_scale_consensus,rank_cbs_prospect_rankings,rank_bleacher_report_mock,rank_nba_draft_room_big_board,rank_tankathon_mock,rank_cbs_mock,rank_yahoo_koc_big_board,rank_the_ringer_big_board,cbs_mpg,cbs_ppg,cbs_rpg,cbs_apg,cbs_fg_pct,name_combine,height_listed_combine,height_in_combine,weight_lbs_combine,sources_combine,wingspan_listed,wingspan_in,height_wo_shoes,height_wo_shoes_in,standing_reach,standing_reach_in,display_name
1.0,Cameron Boozer,PF,Duke,"6'9.5""",81.5,253.0,Freshman,18.9,22.5,10.2,4.1,0.6,1.4,24.2,11.0,4.4,0.7,1.5,0.653,29.9,12.7,6.0,18.7,Tankathon,cameron boozer,Cameron Boozer,9,2.6666666666666665,3.0,0.9428090415820634,1,4,Bleacher Report mock;CBS mock;CBS prospect rankings;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock;The Ringer big board;Yahoo/KOC big board,1.0,3.0,3.0,3.0,4.0,3.0,3.0,1.0,3.0,33.5,22.5,10.2,4.1,55.6,Cameron Boozer,"6'9.5""",81.5,253.0,NBA Draft Room mock;On3 combine measurements;Tankathon;Yahoo/KOC big board,7-1 1/2,85.5,6’8.25″,80.25,9’0″,108.0,Cameron Boozer
2.0,Darryn Peterson,SG/PG,Kansas,"6'5.75""",77.75,199.0,Freshman,19.4,20.2,4.2,1.6,0.6,1.4,25.0,5.2,2.0,0.8,1.8,0.578,33.5,9.3,4.8,14.1,Tankathon,darryn peterson,Darryn Peterson,9,2.111111111111111,2.0,0.3142696805273545,2,3,Bleacher Report mock;CBS mock;CBS prospect rankings;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock;The Ringer big board;Yahoo/KOC big board,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,29.0,20.2,4.2,1.6,43.8,Darryn Peterson,"6'5.75""",77.75,199.0,NBA Draft Room mock;On3 combine measurements;Tankathon;Yahoo/KOC big board,6-9 3/4,81.75,6’4.5″,76.5,8’7″,103.0,Darryn Peterson
3.0,AJ Dybantsa,SF,BYU,"6'9.75""",81.75,217.0,Freshman,19.4,25.5,6.8,3.7,0.3,1.1,26.4,7.1,3.8,0.4,1.1,0.6,33.9,9.5,2.2,11.7,Tankathon,aj dybantsa,AJ Dybantsa,9,1.3333333333333333,1.0,0.6666666666666667,1,3,Bleacher Report mock;CBS mock;CBS prospect rankings;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock;The Ringer big board;Yahoo/KOC big board,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,34.8,25.5,6.8,3.7,51.0,AJ Dybantsa,"6'9.75""",81.75,217.0,NBA Draft Room mock;On3 combine measurements;Tankathon;Yahoo/KOC big board,7-0 1/4,84.25,6’8.5″,80.5,8’10”,106.0,AJ Dybantsa
4.0,Caleb Wilson,SF/PF,North Carolina,"6'10.5""",82.5,211.0,Freshman,19.9,19.8,9.4,2.7,1.4,1.5,22.8,10.8,3.1,1.6,1.7,0.626,28.7,8.7,5.3,14.0,Tankathon,caleb wilson,Caleb Wilson,9,3.888888888888889,4.0,0.3142696805273545,3,4,Bleacher Report mock;CBS mock;CBS prospect rankings;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock;The Ringer big board;Yahoo/KOC big board,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,31.2,19.8,9.4,2.7,57.8,Caleb Wilson,"6'10.5""",82.5,211.0,NBA Draft Room mock;On3 combine measurements;Tankathon;Yahoo/KOC big board,7-0 1/4,84.25,6’9.25″,81.25,9’0″,108.0,Caleb Wilson
5.0,Keaton Wagler,SG/PG,Illinois,"6'6.25""",78.25,188.0,Freshman,19.4,17.9,5.1,4.2,0.4,0.9,19.0,5.4,4.5,0.4,1.0,0.596,25.2,8.8,3.5,12.3,Tankathon,keaton wagler,Keaton Wagler,9,5.444444444444445,5.0,0.9558139185602919,5,8,Bleacher Report mock;CBS mock;CBS prospect rankings;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock;The Ringer big board;Yahoo/KOC big board,5.0,5.0,5.0,5.0,8.0,5.0,5.0,6.0,5.0,33.9,17.9,5.1,4.2,44.5,Keaton Wagler,"6'6.25""",78.25,188.0,NBA Draft Room mock;On3 combine measurements;Tankathon;Yahoo/KOC big board,6-6 1/4,78.25,6’5″,77.0,8’4″,100.0,Keaton Wagler
6.0,Darius Acuff Jr.,PG,Arkansas,"6'3.25""",75.25,186.0,Freshman,19.6,23.5,3.1,6.4,0.3,0.8,24.1,3.2,6.6,0.3,0.9,0.604,29.5,9.4,0.7,10.1,Tankathon,darius acuff,Darius Acuff Jr.,9,6.222222222222222,6.0,0.41573970964154905,6,7,Bleacher Report mock;CBS mock;CBS prospect rankings;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock;The Ringer big board;Yahoo/KOC big board,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,35.2,23.5,3.1,6.4,48.4,Darius Acuff Jr.,"6'3.25""",75.25,186.0,NBA Draft Room mock;Tankathon;Yahoo/KOC big board,6-7,79.0,,,,,Darius Acuff Jr.
7.0,Kingston Flemings,PG,Houston,"6'3.75""",75.75,183.0,Freshman,19.5,16.1,4.1,5.2,0.3,1.5,18.2,4.6,5.9,0.4,1.7,0.563,26.0,6.6,6.0,12.6,Tankathon,kingston flemings,Kingston Flemings,8,7.5,7.0,1.5811388300841898,5,11,Bleacher Report mock;CBS mock;CBS prospect rankings;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock;The Ringer big board,7.0,8.0,7.0,7.0,5.0,7.0,8.0,,11.0,31.7,16.1,4.1,5.2,47.6,Kingston Flemings,"6'3.75""",75.75,183.0,NBA Draft Room mock;On3 combine measurements;Tankathon,6-3 1/2,75.5,6’2.5″,74.5,8’2.5″,98.5,Kingston Flemings
8.0,Brayden Burries,SG/PG,Arizona,"6'5""",77.0,215.0,Freshman,20.8,16.1,4.9,2.4,0.2,1.5,19.4,5.9,2.9,0.2,1.8,0.616,23.2,6.0,5.7,11.7,Tankathon,brayden burries,Brayden Burries,9,8.555555555555555,9.0,1.0657403385139377,6,10,Bleacher Report mock;CBS mock;CBS prospect rankings;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock;The Ringer big board;Yahoo/KOC big board,8.0,10.0,9.0,9.0,9.0,9.0,9.0,8.0,6.0,29.9,16.1,4.9,2.4,49.1,Brayden Burries,"6'5""",77.0,215.0,NBA Draft Room mock;Tankathon;Yahoo/KOC big board,6-6,78.0,,,,,Brayden Burries
9.0,Mikel Brown Jr.,PG,Louisville,"6'4.75""",76.75,190.0,Freshman,20.2,18.2,3.3,4.7,0.1,1.2,22.4,4.1,5.8,0.2,1.5,0.577,31.4,4.9,1.7,6.6,Tankathon,mikel brown,Mikel Brown Jr.,9,7.888888888888889,8.0,1.5234788000891208,5,10,Bleacher Report mock;CBS mock;CBS prospect rankings;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock;The Ringer big board;Yahoo/KOC big board,9.0,7.0,8.0,8.0,7.0,10.0,7.0,5.0,10.0,29.0,18.2,3.3,4.7,41.0,Mikel Brown Jr.,"6'4.75""",76.75,190.0,NBA Draft Room mock;On3 combine measurements;Tankathon;Yahoo/KOC big board,6-7 1/2,79.5,6’3.5″,75.5,8’4.5″,100.5,Mikel Brown Jr.
10.0,Nate Ament,SF,Tennessee,"6'10.75""",82.75,211.0,Freshman,19.5,16.7,6.3,2.3,0.6,1.0,20.2,7.7,2.8,0.8,1.2,0.534,29.0,5.1,3.3,8.4,Tankathon,nate ament,Nate Ament,9,11.777777777777779,10.0,3.392075004994166,9,19,Bleacher Report mock;CBS mock;CBS prospect rankings;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock;The Ringer big board;Yahoo/KOC big board,10.0,9.0,10.0,10.0,17.0,11.0,10.0,10.0,19.0,29.7,16.7,6.3,2.3,39.9,Nate Ament,"6'10.75""",82.75,211.0,NBA Draft Room mock;On3 combine measurements;Tankathon;Yahoo/KOC big board,6-11 1/2,83.5,6’9.5″,81.5,9’1.5″,109.5,Nate Ament
