source,rank,name,age,team_school,class,position,height_listed,height_in,weight_lbs,agency,norm_name
Rookie Scale consensus,2,Darryn Peterson,19.4,Kansas,Fr.,Combo Guard,"6'5 ¾""",77.75,199.0,THE·TEAM,darryn peterson
Rookie Scale consensus,1,AJ Dybantsa,19.4,BYU,Fr.,Wing,"6'9 ¾""",81.75,217.0,Mgmt +,aj dybantsa
Rookie Scale consensus,3,Cam Boozer,18.9,Duke,Fr.,Forward,"6'9 ½""",81.5,253.0,Excel,cameron boozer
Rookie Scale consensus,7,Mikel Brown Jr.,20.2,Louisville,Fr.,Lead Guard,"6'4 ¾""",76.75,190.0,Seros,mikel brown
Rookie Scale consensus,9,Nate Ament,19.5,Tennessee,Fr.,Forward,"6'10 ¾""",82.75,211.0,LIFT,nate ament
Rookie Scale consensus,4,Caleb Wilson,19.9,UNC,Fr.,Forward,"6'10 ½""",82.5,211.0,Klutch,caleb wilson
Rookie Scale consensus,17,Jayden Quaintance,19.0,Kentucky,So.,Big,"6'10 ¼""",82.25,253.0,LIFT,jayden quaintance
Rookie Scale consensus,25,Koa Peat,19.4,Arizona,Fr.,Forward,"6'8 ¼""",80.25,245.0,Klutch,koa peat
Rookie Scale consensus,13,Karim López,19.2,NZ Breakers,2007,Forward,"6'9 ½""",81.5,222.0,Excel,karim lopez
Rookie Scale consensus,12,Yaxel Lendeborg,23.7,Michigan,5Y-Sr. (RS),Forward,"6'10""",82.0,241.0,Octagon,yaxel lendeborg
Rookie Scale consensus,14,Labaron Philon Jr.,20.6,Alabama,So.,Combo Guard,"6'3 ¾""",75.75,176.0,LIFT,labaron philon
Rookie Scale consensus,59,Darrion Williams,23.2,NC State,Sr.,Forward,"6'5 ¾""",77.75,236.0,PNW,darrion williams
Rookie Scale consensus,19,Bennett Stirtz,22.7,Iowa,Sr.,Lead Guard,"6'3 ¾""",75.75,186.0,Priority,bennett stirtz
Rookie Scale consensus,8,Kingston Flemings,19.5,Houston,Fr.,Lead Guard,"6'3 ¾""",75.75,183.0,Primera,kingston flemings
Rookie Scale consensus,21,Chris Cenac Jr.,19.4,Houston,Fr.,Big,"6'11 ½""",83.5,240.0,WME,chris cenac
Rookie Scale consensus,26,Isaiah Evans,20.5,Duke,So.,Wing,"6'6 ¾""",78.75,186.0,THE·TEAM,isaiah evans
Rookie Scale consensus,65,Duke Miles,24.4,Vanderbilt,5Y-Sr. (RS),Combo Guard,"6'2""",74.0,175.0,Life,duke miles
Rookie Scale consensus,61,Tamin Lipsey,23.0,Iowa State,Sr.,Lead Guard,"6'2 ¾""",74.75,200.0,LIFT,tamin lipsey
Rookie Scale consensus,15,Hannes Steinbach,20.1,Washington,Fr.,Big,"6'11 ½""",83.5,248.0,Excel,hannes steinbach
Rookie Scale consensus,46,Otega Oweh,23.0,Kentucky,Sr.,Wing,"6'5 ½""",77.5,216.0,LIFT,otega oweh
Rookie Scale consensus,6,Darius Acuff Jr.,19.6,Arkansas,Fr.,Lead Guard,"6'3 ¼""",75.25,186.0,WME,darius acuff
Rookie Scale consensus,18,Cameron Carr,21.6,Baylor,So. (RS),Wing,"6'5 ¾""",77.75,184.0,WME,cameron carr
Rookie Scale consensus,35,Luigi Suigo,19.4,Mega,2007,Big,"7'4""",88.0,289.0,Excel,luigi suigo
Rookie Scale consensus,23,Allen Graves,19.9,Santa Clara,Fr. (RS),Forward,"6'9""",81.0,226.0,LAMF,allen graves
Rookie Scale consensus,43,Dillon Mitchell,22.7,St. John's,Sr.,Forward,"6'8""",80.0,202.0,CAA,dillon mitchell
Rookie Scale consensus,11,Aday Mara,21.2,Michigan,Jr.,Big,"7'4 ¼""",88.25,260.0,CAA,aday mara
Rookie Scale consensus,28,Meleek Thomas,19.9,Arkansas,Fr.,Combo Guard,"6'4 ¼""",76.25,190.0,Roc Nation,meleek thomas
Rookie Scale consensus,29,Alex Karaban,23.6,UConn,Sr.,Forward,"6'8""",80.0,225.0,Priority,alex karaban
Rookie Scale consensus,33,Sergio de Larrea,20.6,Valencia,2005,Lead Guard,"6'7""",79.0,189.0,CAA,sergio de larrea
Rookie Scale consensus,27,Henri Veesaar,22.2,UNC,Jr. (RS),Big,"7'0 ½""",84.5,227.0,THE·TEAM,henri veesaar
Rookie Scale consensus,67,Tobe Awaka,22.4,Arizona,Sr.,Big,"6'9 ¼""",81.25,261.0,THE·TEAM,tobe awaka
Rookie Scale consensus,40,Trevon Brazile,23.5,Arkansas,Sr. (RS),Forward,"6'10 ¾""",82.75,226.0,Excel,trevon brazile
Rookie Scale consensus,53,Kylan Boswell,21.2,Illinois,Sr.,Combo Guard,"6'2 ½""",74.5,226.0,THE·TEAM,kylan boswell
Rookie Scale consensus,73,Malik Reneau,23.2,Miami,Sr.,Forward,"6'9""",81.0,238.0,ADS,malik reneau
Rookie Scale consensus,77,Jaden Henley,22.2,Grand Canyon,Sr.,Wing,"6'7 ¼""",79.25,207.0,SLASH,jaden henley
Rookie Scale consensus,22,Dailyn Swain,20.9,Texas,Jr.,Wing,"6'7 ¾""",79.75,211.0,WME,dailyn swain
Rookie Scale consensus,30,Zuby Ejiofor,22.2,St. John's,Sr.,Big,"6'8 ¾""",80.75,245.0,Glushon,zuby ejiofor
Rookie Scale consensus,78,Xaivian Lee,22.3,Florida,Sr.,Lead Guard,"6'3 ¾""",75.75,178.0,GSL,xaivian lee
Rookie Scale consensus,37,Braden Smith,22.9,Purdue,Sr.,Lead Guard,"5'11 ½""",71.5,167.0,Priority,braden smith
Rookie Scale consensus,20,Christian Anderson Jr.,20.2,Texas Tech,So.,Lead Guard,"6'2 ¼""",74.25,180.0,CAA,christian anderson
Rookie Scale consensus,45,Bruce Thornton,22.8,Ohio State,Sr.,Lead Guard,"6'1 ¼""",73.25,223.0,THE·TEAM,bruce thornton
Rookie Scale consensus,52,Milos Uzan,23.5,Houston,Sr.,Lead Guard,"6'4 ¼""",76.25,185.0,PNW,milos uzan
Rookie Scale consensus,10,Brayden Burries,20.8,Arizona,Fr.,Combo Guard,"6'5""",77.0,215.0,Klutch,brayden burries
Rookie Scale consensus,24,Ebuka Okorie,19.2,Stanford,Fr.,Lead Guard,"6'2 ½""",74.5,186.0,LIFT,ebuka okorie
Rookie Scale consensus,39,Jaden Bradley,22.8,Arizona,Sr.,Lead Guard,"6'3 ¾""",75.75,205.0,WME,jaden bradley
Rookie Scale consensus,44,Emanuel Sharp,22.3,Houston,Sr.,Combo Guard,"6'4""",76.0,208.0,Octagon,emanuel sharp
Rookie Scale consensus,31,Tarris Reed Jr.,22.9,UConn,Sr.,Big,"6'11""",83.0,264.0,AMR,tarris reed
Rookie Scale consensus,32,Joshua Jefferson,22.6,Iowa State,Sr.,Forward,"6'9""",81.0,246.0,LIFT,joshua jefferson
Rookie Scale consensus,57,Felix Okpara,22.2,Tennessee,Sr.,Big,"6'11 ¼""",83.25,237.0,THE·TEAM,felix okpara
Rookie Scale consensus,75,Cade Tyson,22.9,Minnesota,Sr.,Wing,"6'7 ½""",79.5,192.0,Assjst,cade tyson
Rookie Scale consensus,34,Baba Miller,22.4,Cincinnati,Sr.,Forward,"6'11 ¾""",83.75,208.0,Gersh,baba miller
Rookie Scale consensus,69,Lamar Wilkerson,24.6,Indiana,5Y-Sr. (RS),Combo Guard,"6'4 ¾""",76.75,204.0,LIFT,lamar wilkerson
Rookie Scale consensus,80,Oscar Cluff,24.6,Purdue,5Y-Sr.,Big,"6'10 ¼""",82.25,249.0,Lighthouse,oscar cluff
Rookie Scale consensus,76,Nick Boyd,25.2,Wisconsin,5Y-Sr. (RS),Lead Guard,"6'2 ¼""",74.25,176.0,ProMondo,nick boyd
Rookie Scale consensus,16,Morez Johnson Jr.,20.4,Michigan,So.,Big,"6'10 ¼""",82.25,251.0,CAA,morez johnson
Rookie Scale consensus,5,Keaton Wagler,19.4,Illinois,Fr.,Combo Guard,"6'6 ¼""",78.25,188.0,ProMondo,keaton wagler
Rookie Scale consensus,42,Ja'Kobi Gillespie,22.3,Tennessee,Sr.,Lead Guard,"6'1""",73.0,182.0,Gersh,ja kobi gillespie
Rookie Scale consensus,72,Mark Mitchell Jr.,22.8,Missouri,Sr.,Forward,"6'9""",81.0,239.0,THE·TEAM,mark mitchell
Rookie Scale consensus,38,Richie Saunders,24.8,BYU,Sr.,Wing,"6'6 ¼""",78.25,205.0,Priority,richie saunders
Rookie Scale consensus,36,Ryan Conwell,22.0,Louisville,Sr.,Combo Guard,"6'3 ¼""",75.25,215.0,WME,ryan conwell
Rookie Scale consensus,51,Nick Martinelli,22.2,Northwestern,Sr.,Forward,"6'7 ¾""",79.75,224.0,NEXT,nick martinelli
Rookie Scale consensus,56,Keyshawn Hall,23.2,Auburn,Sr.,Forward,"6'7 ¼""",79.25,227.0,Gersh,keyshawn hall
Rookie Scale consensus,48,Tyler Nickel,22.8,Vanderbilt,Sr.,Wing,"6'7 ¼""",79.25,217.0,Gersh,tyler nickel
Rookie Scale consensus,60,Nate Bittle,23.1,Oregon,Sr. (RS),Big,"7'0 ¾""",84.75,254.0,THE·TEAM,nate bittle
Rookie Scale consensus,41,Ugonna Onyenso,21.7,Virginia,Sr.,Big,"7'0 ¼""",84.25,237.0,Hazan,ugonna onyenso
Rookie Scale consensus,64,Tucker DeVries,23.5,Indiana,Sr. (RS),Wing,"6'7 ½""",79.5,222.0,Excel,tucker devries
Rookie Scale consensus,55,Maliq Brown,22.6,Duke,Sr.,Forward,"6'9 ¼""",81.25,217.0,Life,maliq brown
Rookie Scale consensus,79,Graham Ike,23.9,Gonzaga,5Y-Sr. (RS),Big,"6'11""",83.0,251.0,Humility,graham ike
Rookie Scale consensus,49,Izaiyah Nelson,22.7,South Florida,Sr.,Big,"6'9 ½""",81.5,219.0,Excel,izaiyah nelson
Rookie Scale consensus,74,Michael Ajayi,23.0,Butler,5Y-Sr.,Forward,"6'7 ½""",79.5,236.0,CAA,michael ajayi
Rookie Scale consensus,70,Jaron Pierre Jr.,24.0,SMU,5Y-Sr. (RS),Combo Guard,"6'5 ¾""",77.75,200.0,Skyward,jaron pierre
Rookie Scale consensus,54,Tyler Bilodeau,22.2,UCLA,Sr.,Forward,"6'8 ½""",80.5,228.0,Life,tyler bilodeau
Rookie Scale consensus,71,Aaron Nkrumah,24.6,Tennessee State,Sr.,Wing,"6'6 ¼""",78.25,189.0,NEXT,aaron nkrumah
Rookie Scale consensus,58,Bryce Hopkins,23.8,St. John's,Sr. (RS),Forward,"6'7 ¼""",79.25,219.0,Priority,bryce hopkins
