slug,prospect,clip_files,youtube_urls,frame_count,note_file
acuff,Darius Acuff Jr.,film/clips/acuff_HJmg3oa_gMI.webm,https://www.youtube.com/watch?v=HJmg3oa_gMI,316,film/notes/acuff.md
ament,Nate Ament,film/clips/ament_oxU5KKPlCu0.webm,https://www.youtube.com/watch?v=oxU5KKPlCu0,352,film/notes/ament.md
boozer,Cameron Boozer,film/clips/boozer_KwEliYUNeUg.webm,https://www.youtube.com/watch?v=KwEliYUNeUg,685,film/notes/boozer.md
brown_mikel,Mikel Brown Jr.,film/clips/brown_mikel_ggQOzfQbuEQ.webm,https://www.youtube.com/watch?v=ggQOzfQbuEQ,427,film/notes/brown_mikel.md
burries,Brayden Burries,film/clips/burries_BIKJpih0YOA.mp4;film/clips/burries_RPNrEl-xxDU.mp4,https://www.youtube.com/watch?v=BIKJpih0YOA;https://www.youtube.com/watch?v=RPNrEl-xxDU,703,film/notes/burries.md
carr,Cameron Carr,film/clips/carr_Jmk5qDZUz98.mp4,https://www.youtube.com/watch?v=Jmk5qDZUz98,664,film/notes/carr.md
dybantsa,AJ Dybantsa,,,1503,film/notes/dybantsa.md
flemings,Kingston Flemings,film/clips/flemings_B7-zIIVA1go.webm;film/clips/flemings_kNg_jk3k_ok.mp4,https://www.youtube.com/watch?v=B7-zIIVA1go;https://www.youtube.com/watch?v=kNg_jk3k_ok,410,film/notes/flemings.md
graves,Allen Graves,film/clips/graves_7Wj0fFSJiRk.webm,https://www.youtube.com/watch?v=7Wj0fFSJiRk,1476,film/notes/graves.md
johnson_morez,Morez Johnson Jr.,film/clips/johnson_morez_agQhxCcfGSc.webm,https://www.youtube.com/watch?v=agQhxCcfGSc,457,film/notes/johnson_morez.md
lendeborg,Yaxel Lendeborg,film/clips/lendeborg_1ZjXxA0dgng.mp4;film/clips/lendeborg_cjAekSOKNL8.webm,https://www.youtube.com/watch?v=1ZjXxA0dgng;https://www.youtube.com/watch?v=cjAekSOKNL8,843,film/notes/lendeborg.md
lopez,Karim Lopez,film/clips/lopez__Ub3ojrAnsA.webm,https://www.youtube.com/watch?v=_Ub3ojrAnsA,200,film/notes/lopez.md
mara,Aday Mara,film/clips/mara_6F5pUJib3Y0.webm,https://www.youtube.com/watch?v=6F5pUJib3Y0,248,film/notes/mara.md
okorie,Ebuka Okorie,film/clips/okorie_L_q1QA43VFA.webm,https://www.youtube.com/watch?v=L_q1QA43VFA,302,film/notes/okorie.md
peterson,Darryn Peterson,film/clips/peterson_jlMx6ZcAgho.webm,https://www.youtube.com/watch?v=jlMx6ZcAgho,210,film/notes/peterson.md
philon,Labaron Philon Jr.,film/clips/philon_Ah8wQ47Nql4.mp4,https://www.youtube.com/watch?v=Ah8wQ47Nql4,286,film/notes/philon.md
steinbach,Hannes Steinbach,film/clips/steinbach_kZdN-gVgp5k.webm,https://www.youtube.com/watch?v=kZdN-gVgp5k,196,film/notes/steinbach.md
stirtz,Bennett Stirtz,film/clips/stirtz_Xht906dzu6w.webm,https://www.youtube.com/watch?v=Xht906dzu6w,119,film/notes/stirtz.md
wagler,Keaton Wagler,film/clips/wagler_cQPlLIaHobM.webm,https://www.youtube.com/watch?v=cQPlLIaHobM,514,film/notes/wagler.md
wilson,Caleb Wilson,film/clips/wilson_QVZgBTs4gMg.webm,https://www.youtube.com/watch?v=QVZgBTs4gMg,724,film/notes/wilson.md
