feature,importance_mae
market_rank,3.334301485446666
ast_per40,0.2139018804372604
age_at_draft,0.09334239259588628
tov_per40,0.0890929040822849
blk_per40,0.08901457011537835
pts_per40,0.08267775449067001
three_pct,0.07894610710987848
stl_per40,0.07798811871565103
bpm,0.07137192224280886
reb_per40,0.060792166769912725
dbpm,0.05064306354796884
height_in,0.046238323478538935
three_pa_per40,0.04578315787321472
obpm,0.03973068698883866
ft_pct,0.02816727817075577
wingspan_in,0.024940669646107416
ts_pct,0.021811040881288334
usg_pct,0.02129198065298956
weight_lbs,0.01043973154435287
standing_reach_in,0.0053080703378898695
position_group,0.003564695569865872
